Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000104315	0.9797633399863631	0.5623370482632527	20.221718060212254	2.9654700914757174e-9	2.735942706395497e-5	11.031529666164154
ENSDARG00000101341	-0.6505860272521244	1.0051318788803418	-15.88368856242142	2.8953584938817115e-8	1.3356288732276335e-4	9.305939422773776
ENSDARG00000034503	0.9219813302749765	0.6515453552820737	14.486338986157422	6.842700606384846e-8	1.8751946143437696e-4	8.593576435789183
ENSDARG00000014945	0.5699024990748424	0.7756559667863532	13.88656962533305	1.0135434799506656e-7	1.8751946143437696e-4	8.258341326835767
ENSDARG00000019113	-0.6196191967103863	0.8643649655911037	-13.882568992963758	1.0162554814349499e-7	1.8751946143437696e-4	8.256040953428364
ENSDARG00000005799	-0.938356532413329	1.1067382398749273	-12.514180908616298	2.6481214319090073e-7	3.6519486262532745e-4	7.415053247922771
ENSDARG00000028396	2.100403946405222	1.1969594360645366	12.452580894145617	2.7708259683257016e-7	3.6519486262532745e-4	7.374499343316332
ENSDARG00000035399	-0.5697182682827755	0.40203578642327836	-12.007456167272904	3.8671252297930677e-7	4.0712834203573365e-4	7.0739929126569745
ENSDARG00000105096	-2.7843813107625315	2.589539873964377	-11.972494676080808	3.9715533040554984e-7	4.0712834203573365e-4	7.0498219513178455
ENSDARG00000043531	0.8662782529118289	0.6531880534314484	11.24449651575733	7.029895385507969e-7	6.485781482669652e-4	6.526701021661726
ENSDARG00000011239	-0.7585201784131727	0.8147246949873936	-11.109783008023568	7.840983340474224e-7	6.576446572655927e-4	6.4255882740428785
ENSDARG00000040334	1.029953465284228	1.8154474965894303	10.921400538905326	9.152245144193474e-7	7.036551141694083e-4	6.281829065371669
ENSDARG00000038075	0.6571611701339682	1.883645615222109	10.708494554897886	1.0930530418613298e-6	7.757313357086638e-4	6.115957417806445
ENSDARG00000036868	-0.5357570002864204	0.4763207843205331	-10.453374580812357	1.3576749063952518e-6	7.765824597312285e-4	5.912307550333562
ENSDARG00000071906	0.5577869259231769	0.7106687029209843	10.40693728719107	1.413007624001528e-6	7.765824597312285e-4	5.87465208004085
ENSDARG00000036038	-0.44085462268470826	0.27635414676050185	-10.247174577870787	1.6230713658863719e-6	7.765824597312285e-4	5.743692887324807
