ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000233656	-0.004215073359098905	-0.131696259327876	-0.16970709786030178	0.8658131164009222	0.9285961423816521	-6.96165491810303
ENSG00000064225	0.02526714697212473	0.8942940523338964	0.16958821967062399	0.8659062003475644	0.9286463159280655	-6.9616752375220265
ENSG00000279993	-0.00843921245488944	0.2811900624679865	-0.16932035319246413	0.8661159520248873	0.9288215984285713	-6.961720970832431
ENSG00000188508	0.007928853519255095	0.03553579583648056	0.16920592228162395	0.8662055595985734	0.9288680266967324	-6.961740485804247
ENSG00000168827	-0.030490303781071478	2.01830336317896	-0.16899600881631807	0.8663699414129808	0.9289627431953694	-6.961776250041993
ENSG00000164338	-0.013263339165661284	0.586372630273122	-0.16897483436946356	0.8663865233082062	0.9289627431953694	-6.961779855199036
ENSG00000101746	-0.4772850070617521	6.979381491489209	-0.16837932920789886	0.8668528932929203	0.9293740069106128	-6.961881060962156
ENSG00000140350	-0.35222740204226943	17.466148787647203	-0.16836672903951339	0.8668627616312741	0.9293740069106128	-6.961883198497284
ENSG00000234173	0.007303746023853165	0.036714598820248794	0.16828848126696858	0.8669240450579647	0.9293900282062508	-6.961896469135994
ENSG00000165152	-0.10112233718166096	3.78516875524001	-0.16821410898266015	0.8669822939737833	0.9294027948013363	-6.961909076788262
ENSG00000156234	-0.01646679709926814	0.35302745623231707	-0.1680623153664126	0.8671011821396308	0.9294805616778427	-6.961934791691635
ENSG00000180914	0.016788784901425217	0.7143111574869166	0.16775236592999426	0.8673439510615893	0.9296911058998042	-6.961987227270394
ENSG00000167967	-0.04718949965346991	2.3419650120655886	-0.16721574640276712	0.8677642903994792	0.9300919521297538	-6.96207778103557
ENSG00000163029	0.04063077686070355	1.7881662597572388	0.16715060215707628	0.8678153211374826	0.9300969422718618	-6.962088754302266
ENSG00000197085	0.005166649098237773	0.09976560052517279	0.16694933700126127	0.8679729857425589	0.9301903607902912	-6.962122629561566
ENSG00000157551	0.0077816781783673445	0.2652177163351562	0.1669209247320681	0.8679952434279167	0.9301903607902912	-6.962127408391516
ENSG00000172156	-0.00632664080455277	0.06696383060878254	-0.166677525570217	0.8681859225590822	0.9303089599021211	-6.96216831385835
ENSG00000113460	0.035027949954940386	1.8876224689889163	0.16662022745029845	0.8682308111034224	0.9303089599021211	-6.962177934662537
ENSG00000214561	-0.005094965415965549	-0.11947578924665259	-0.16657560200834548	0.8682657719087497	0.9303089599021211	-6.9621854253353614
ENSG00000257704	0.10672544306190088	3.9156957338318046	0.166542819313783	0.8682914549465399	0.9303089599021211	-6.962190926848236
ENSG00000119660	0.007214624999046847	-0.02907607991856596	0.16641982726401178	0.86838781222093675	0.9303148745872447	-6.962211557435012
ENSG00000140807	0.03990958670459689	0.7491261787725461	0.16636788150667167	0.868428509368911	0.9303148745872447	-6.9622202662005614
ENSG00000255471	0.006703299080294495	0.2545993662850279	0.16635815086083924	0.8684361329289189	0.9303148745872447	-6.962221897252397
ENSG00000121989	-0.08941899564565722	4.680893198544777	-0.16594968186054285	0.8687561628616509	0.9306080009802528	-6.962290278890972
ENSG00000261558	0.008312987336835066	0.1591336160118118	0.16575931846222516	0.8689053175422008	0.9307180649768414	-6.962322090179098
ENSG00000182329	-0.006680564148475735	0.1975283869394137	-0.16522882967485708	0.8693209945434234	0.9310512834494228	-6.962410546745241
ENSG00000178107	0.0046175907941537146	-0.12760627791377313	0.1651677289971659	0.8693688738007728	0.9310512834494228	-6.962420716809167
ENSG00000258779	-0.0032101647829028443	-0.0023572626706852453	-0.16513691414353418	0.8693930208928355	0.9310512834494228	-6.962425844443416
ENSG00000166220	-0.010185105293153545	0.22884699981918652	-0.16512533321832448	0.8694020959533701	0.9310512834494228	-6.962427771278262
ENSG00000226722	-0.005658986565701872	0.3291141426927144	-0.16454716579381895	0.8698551826993663	0.9314867608638203	-6.9625237951810535
ENSG00000132394	0.034617156286301805	2.560626713835177	0.16416577914467628	0.8701540841910053	0.931748761221267	-6.962586952904027
ENSG00000149599	-0.00908320844965044	0.1840240267808147	-0.16404161592382646	0.8702513978697785	0.931748761221267	-6.962607482769844
ENSG00000149575	-0.010033477062946624	0.16802460815900355	-0.16402192463990384	0.8702668312182975	0.931748761221267	-6.962610737214972
ENSG00000163866	-0.04399181375433383	3.213387141041807	-0.16399787916324648	0.8702856773014557	0.931748761221267	-6.962614710762928
ENSG00000105695	-0.010060970220997764	0.11352347651942434	-0.163820563895424	0.8704246537246114	0.9318332283350897	-6.962643994382832
ENSG00000235703	-0.005507858564429925	0.12963322048826656	-0.16375783183456116	0.870473822934879	0.9318332283350897	-6.962654347004434
ENSG00000169255	0.09718796851886895	3.8533014430149324	0.16371938561713792	0.8705039572240846	0.9318332283350897	-6.96266068979489
ENSG00000170627	-0.0047240403060860095	-0.10923901782500495	-0.16346658078023202	0.8707021114010847	0.9319955994161367	-6.9627023600395335
ENSG00000004975	-0.17439840522499916	2.627189724457567	-0.1632363467218924	0.8708825813299255	0.9321390250375166	-6.962740253928347
ENSG00000184752	0.34047348355824564	21.26732498628559	0.16309926730316604	0.8709900348795474	0.9322042872909014	-6.96276279028706
ENSG00000165195	-0.01051892950136772	0.8168564979094545	-0.1629511505576196	0.8711061430918011	0.9322788050079597	-6.962787119960684
ENSG00000092067	-0.006708305459516791	0.12224468153100103	-0.1625692125002653	0.8714055561682477	0.9325324498593158	-6.962849755250112
ENSG00000109881	-0.02701926714618045	1.4871918178895402	-0.16253020352338168	0.8714361375779466	0.9325324498593158	-6.962856144196488
ENSG00000140743	0.05610747601678632	1.740128244303188	0.16233509501730775	0.8715890974596894	0.9326463713733943	-6.962888076356675
ENSG00000226900	-0.0054613389504972135	-0.049617488974556374	-0.1621647869393707	0.8717226184899021	0.9327394812437835	-6.962915918264874
ENSG00000164976	-0.008448702070520382	0.3442681894743835	-0.16198377611014594	0.8718645345537352	0.9327969177889465	-6.962945477846441
ENSG00000174151	-0.020466842057082452	1.643524178788688	-0.16197767635471302	0.8718693169561025	0.9327969177889465	-6.962946473379318
ENSG00000260630	0.006367683238130262	0.13485333624250284	0.1617907692299037	0.8720158604168311	0.9329039364442291	-6.962976960081697
ENSG00000164366	-0.022347035115221677	2.0317550472589234	-0.16152928667966815	0.8722208818691398	0.9329885689138616	-6.963019551878519
