Gene	Unamputated.dnHIF1a.expressing.adult.zebrafish..sample.1	Unamputated.dnHIF1a.expressing.adult.zebrafish..sample.2	Unamputated.dnHIF1a.expressing.adult.zebrafish..sample.3	Unamputated.wildtype.adult.zebrafish..sample.1	Unamputated.wildtype.adult.zebrafish..sample.2	Unamputated.wildtype.adult.zebrafish..sample.3	X7.days.post.amputation.dnHIF1a.expressing.adult.zebrafish..sample.1	X7.days.post.amputation.dnHIF1a.expressing.adult.zebrafish..sample.2	X7.days.post.amputation.dnHIF1a.expressing.adult.zebrafish..sample.3	X7.days.post.amputation.wildtype.adult.zebrafish..sample.1	X7.days.post.amputation.wildtype.adult.zebrafish..sample.2	X7.days.post.amputation.wildtype.adult.zebrafish..sample.3
ENSDARG00000000018	0.635443299839826	0.558341418094041	0.624743884184593	0.504107996072674	0.5342256066860465	0.585796894517587	0.36848565825644397	0.3523579033608285	0.4281195869135175	0.4913398027898255	0.507527740284593	0.475817993736531
ENSDARG00000000019	0.736219360824709	0.79001785294593	0.762451938086337	0.647837814618072	0.798748725073256	0.795598348701599	0.795743567593605	0.764915425770349	0.837969412930814	1.0118700163742749	0.776506307831105	0.920099829278052
ENSDARG00000000068	0.263203233816279	0.26240491798619203	0.2976918967970345	0.374529146697093	0.3518677127125	0.334883792911047	0.258780219762016	0.276377716228682	0.317252361834109	0.323772520124806	0.29661686479375	0.29532743863357547
ENSDARG00000000069	0.4119694591476745	0.446510975781977	0.443452975575291	0.5755303667629845	0.503678563085465	0.5067531995464876	0.45713800727655	0.47414059550436	0.44068920127732547	0.474360151531977	0.488927941734884	0.501084995936628
ENSDARG00000000103	1.30950224545814	1.3771143235969499	1.24995335534709	1.385706987728925	1.59462561795242	1.543590060173255	1.21588570404041	1.291573101793315	1.249112947038085	1.56239560124913	1.43547541496221	1.57614169252253
ENSDARG00000000151	0.018852330230668603	0.0849872777908915	0.015145833049563951	0.0239272871491279	0.0606747192846899	0.0371392917418605	0.0765021187017442	-0.00142487309534884	0.1129053176274225	0.1846551649099325	0.0681695968122093	0.145480489811628
ENSDARG00000000161	-0.177166212031202	-0.183212178018895	-0.199695799279215	-0.220892987609884	-0.213858721599961	-0.210645446594671	-0.221366463482558	-0.17422251568556202	-0.1974799441248545	-0.236659990361047	-0.2238365319134205	-0.220179096054651
ENSDARG00000000175	-0.150856965020349	-0.160890903655233	-0.15307821271976751	-0.16791601949215101	-0.15700860772165698	-0.166386981010174	-0.1450681088594475	-0.14180827045436	-0.131708959887791	-0.16419095843284848	-0.148737738470058	-0.14940552488314
ENSDARG00000000183	-0.175817335078004	-0.16801415459966101	-0.177663266579651	-0.2101459296249515	-0.183315826223837	-0.15956149194651148	-0.177815954578876	-0.177663266579651	-0.212445594361919	-0.206176864948256	-0.189020397359012	-0.201306129113275
ENSDARG00000000229	-0.178825285036531	-0.190986974672674	-0.199695799279215	-0.19842291395823652	-0.149884709528779	-0.182907622772481	-0.192944572535465	-0.192124758922674	-0.19264294954845	-0.192021052971512	-0.216907534354651	-0.205457367346366
ENSDARG00000000241	1.0833721118547999	1.095355072866135	1.06108037698605	1.00254362627674	1.27026589376342	1.2331881691449849	1.1319669753093	1.0632296706564	1.12377300853895	1.3263878833281	1.459027908465405	1.2209370742501449
ENSDARG00000000380	-0.203097807225	-0.2056722079739825	-0.217372008531977	-0.22287026043590102	-0.201474424435174	-0.209066911934302	-0.218763421078488	-0.2367281096084305	-0.19264294954845	-0.23794906321312997	-0.2108145078850775	-0.2545983860226745
ENSDARG00000000394	1.44118440824942	1.36964899994709	1.37419037665872	1.526327998921945	1.47885434952035	1.50357366130349	1.17567237746928	1.21220647430465	1.260723453268315	1.30651280129767	1.37580410426749	1.260723453268315
ENSDARG00000000442	0.695652198790698	0.6868051997129365	0.672917518442296	0.8490946171639535	0.798748725073256	0.9806734304881545	0.693555119661046	0.7129610828219475	0.654415474785465	0.892478979802616	0.7436898299212935	0.958114392274709
ENSDARG00000000460	0.0239272871491279	-0.017431779434593	-0.0170637731261628	0.0331714730078488	-0.0119400191453488	0.00101436229767442	-0.035616249925	-0.00372926482383721	0.00547919320949612	-0.0459650234308139	0.0186523488502907	-0.0153774293023256
ENSDARG00000000476	0.147093720681541	0.1211936714267445	0.133587522342054	0.21607247620256798	0.182136672472093	0.223425632414898	0.152404667677762	0.0709271708979651	0.0958444842968023	0.165038542924709	0.1051717184292635	0.13485378506686
