ENSEMBL	Non_SHH	SHH	AveExpr	F	P.Value	adj.P.Val
ENSG00000124782	4.1585022541692815	0.5793123094424144	3.5717498042140585	217.02963930292216	3.7971076171785054e-28	1.0158035263456329e-27
ENSG00000123992	1.4618311842930964	2.2922918603104994	1.597972278722179	217.01245635209958	3.80501875986452e-28	1.0177841590803256e-27
ENSG00000105287	2.039862120294405	3.574589886607113	2.291456836083374	216.9739544069583	3.822807212585652e-28	1.0224059402002645e-27
ENSG00000119547	3.9086589366414914	3.5632990656427954	3.852042564346623	216.94001728872098	3.838557908153934e-28	1.0264815654124706e-27
ENSG00000197302	0.8354024594110944	0.7084291991306509	0.81458717084053	216.88577281106996	3.86387294578836e-28	1.0331133955570104e-27
ENSG00000148484	1.9923347703972152	3.6271659800754867	2.260339886737915	216.75946652747	3.9234889012654175e-28	1.0489135351076941e-27
ENSG00000197785	1.5848456217328133	1.5703498101838629	1.582469259183805	216.74822785750743	3.928839347912286e-28	1.0502039445785527e-27
ENSG00000107104	2.580593738597677	1.4896019563180394	2.4017426267485567	216.74370387559853	3.930995229344496e-28	1.0505032275101315e-27
ENSG00000267041	2.121424132755098	2.296464618245518	2.1501192943109046	216.74368014155147	3.9310065429116162e-28	1.0505032275101315e-27
ENSG00000258136	-0.19735369124930335	-0.19701094680478756	-0.19729750363544832	216.7423848190628	3.931624049448209e-28	1.0505282698605552e-27
ENSG00000113555	0.9138034429026581	1.1199543165340415	0.947598668088131	216.74026917654174	3.9326328347863182e-28	1.05065784114126e-27
ENSG00000188910	0.27247103318513827	0.30383088800495267	0.2776119929916653	216.69988491560406	3.951940317850391e-28	1.0556754796857679e-27
ENSG00000154079	1.6200222950129775	1.5750722649242606	1.6126534376213846	216.69120782125603	3.956101556676423e-28	1.0566463286816132e-27
ENSG00000253311	0.3122279062170037	0.328474874546394	0.31489134364805127	216.6167022114945	3.992018809379794e-28	1.0660975930881646e-27
ENSG00000245479	0.3166044324994868	0.24689396500617397	0.3051764870087798	216.5774034236839	4.0110993402580684e-28	1.071050570739127e-27
ENSG00000102753	6.966885577240842	6.172636378374806	6.836680790541493	216.55224828078377	4.023362232268559e-28	1.074182014515152e-27
ENSG00000112249	1.0996788889463	1.4724673354543507	1.1607917490295874	216.53686205891736	4.0308819588518448e-28	1.0760464337379555e-27
ENSG00000279266	0.2724496820430413	0.2932847507268501	0.27586526707317394	216.52639004040282	4.0360082665076765e-28	1.0772715170758313e-27
