affy_probe_ids	Non_SHH	SHH	AveExpr	F	P.Value	adj.P.Val
7892504	8.801581196581196	9.365490196078431	8.902491228070176	47063.68485541436	0	0
7892508	8.469059829059828	9.007647058823528	8.565438596491228	41936.586264528654	0	0
7892509	10.138931623931622	11.291176470588233	10.345122807017544	60179.32055028833	0	0
7892514	9.62594017094017	10.154313725490196	9.720491228070175	59389.97833415822	0	0
7892515	8.582521367521368	9.1178431372549	8.678315789473684	73141.31105672276	0	0
7892517	9.410427350427348	9.345098039215685	9.398736842105263	27196.191433774664	0	0
7892520	8.7658547008547	9.224509803921562	8.847929824561403	68526.07789237447	0	0
7892521	8.80111111111111	9.734313725490193	8.968105263157895	94944.33413909824	0	0
7892522	6.432094017094017	6.9703921568627445	6.528421052631579	43659.83544992322	0	0
7892527	8.410897435897436	9.595098039215681	8.62280701754386	46215.92074142844	0	0
7892530	8.114444444444445	9.247450980392156	8.31719298245614	56663.435009324094	0	0
7892536	10.762820512820511	12.022549019607842	10.988245614035089	103631.19087628793	0	0
7892541	9.817350427350426	10.629411764705878	9.962666666666667	31653.022248425208	0	0
7892542	9.694743589743586	10.28862745098039	9.801017543859649	63856.96533181957	0	0
7892548	8.587948717948716	9.28862745098039	8.713333333333333	104713.08472357597	0	0
7892551	10.554871794871794	10.818039215686271	10.601964912280701	132522.1550976736	0	0
7892556	12.603034188034187	13.359215686274506	12.738350877192982	871591.5089136059	0	0
7892561	9.133760683760682	10.195490196078433	9.323754385964913	42131.36249953549	0	0
7892562	7.822350427350427	8.453725490196076	7.935333333333333	65023.73432286738	0	0
7892563	6.418803418803417	7.269607843137253	6.571052631578947	36055.80933859012	0	0
7892564	10.273717948717946	11.071372549019605	10.416456140350878	99280.68812964835	0	0
7892568	11.627307692307692	12.507647058823526	11.784842105263158	84981.17089478	0	0
7892569	7.902606837606837	8.639803921568626	8.034526315789474	74638.38062267077	0	0
7892574	10.243333333333332	11.440784313725489	10.457614035087719	75691.57395989253	0	0
7892579	9.109444444444444	11.009999999999998	9.449543859649124	42100.60346773644	0	0
7892598	9.349999999999998	9.916078431372545	9.451298245614035	66167.90632831011	0	0
7892599	11.054572649572648	11.642156862745095	11.159719298245614	161953.40888108104	0	0
7892601	4.0140170940170945	5.1223529411764686	4.212350877192982	34923.31764090874	0	0
7892605	8.975384615384614	9.77019607843137	9.117614035087719	40447.93808023799	0	0
7892606	11.343547008547008	11.6556862745098	11.399403508771929	114360.91530879735	0	0
7892608	7.853076923076922	8.501568627450977	7.969122807017544	33863.93024843132	0	0
7892613	9.493376068376067	9.760196078431369	9.541122807017544	54533.255657108064	0	0
7892617	12.253418803418803	12.789019607843134	12.349263157894736	235064.4389898703	0	0
7892618	6.402307692307692	7.671568627450979	6.629438596491228	28507.598220136082	0	0
7892620	12.44102564102564	12.481568627450978	12.448280701754387	148796.32815892957	0	0
7892621	12.279999999999998	12.898823529411763	12.390736842105262	262424.5518195564	0	0
7892622	10.487863247863247	11.122156862745095	10.601368421052632	105679.37564794204	0	0
7892623	9.959188034188035	10.356862745098038	10.030350877192982	101299.08166794923	0	0
7892627	7.035299145299145	8.04470588235294	7.215929824561403	35700.37949742575	0	0
7892628	9.157435897435896	10.645294117647058	9.423684210526316	32881.90361384117	0	0
7892630	9.657435897435898	10.715294117647053	9.846736842105264	60310.88841011344	0	0
7892633	8.674700854700854	9.374509803921567	8.799929824561403	34929.55935322505	0	0
7892634	8.658162393162394	9.118431372549018	8.740526315789474	53808.58560185515	0	0
7892635	7.389102564102563	8.171960784313725	7.5291929824561405	54144.513376665534	0	0
7892636	7.837307692307692	8.775098039215685	8.005122807017544	49095.18200619801	0	0
7892637	7.3726068376068365	8.373529411764705	7.551719298245614	35211.41022558604	0	0
7892639	10.688418803418804	11.227058823529408	10.78480701754386	61156.821708208125	0	0
7892640	11.666752136752137	12.619607843137253	11.837263157894737	178499.47986369565	0	0
7892642	8.502863247863248	8.954117647058823	8.58361403508772	48514.357872909415	0	0
7892643	8.036324786324785	10.048627450980392	8.39642105263158	26505.343164051777	0	0
7892644	8.17850427350427	8.956666666666665	8.317754385964912	48476.00768492529	0	0
7892648	10.474401709401707	11.117647058823525	10.589508771929825	70070.47824585004	0	0
7892650	11.414059829059829	12.663333333333332	11.637614035087719	118618.07582544675	0	0
7892652	11.016196581196578	12.204705882352938	11.228877192982456	175755.7932200757	0	0
7892654	9.301111111111112	9.96392156862745	9.419719298245614	54756.745366513656	0	0
7892661	9.924871794871793	10.026470588235293	9.943052631578947	90655.52108126585	0	0
7892662	8.771282051282052	9.472745098039214	8.89680701754386	111641.25307839896	0	0
7892663	10.656068376068378	11.327058823529407	10.776140350877194	128513.84090094443	0	0
7892667	7.394230769230767	8.061176470588233	7.513578947368421	34586.67361112319	0	0
7892668	9.69730769230769	10.705686274509803	9.877754385964913	74256.79046042968	0	0
7892670	7.047008547008548	8.22627450980392	7.258035087719298	43602.307044821675	0	0
7892674	7.406367521367519	8.13647058823529	7.537017543859649	30621.424703548113	0	0
7892677	10.093290598290599	10.386274509803917	10.145719298245615	94133.1737520778	0	0
7892678	8.200641025641026	9.131176470588233	8.367157894736842	44928.74351797133	0	0
7892680	8.277136752136752	9.90235294117647	8.567964912280702	40420.67078596675	0	0
7892681	6.45474358974359	7.466666666666665	6.635824561403509	31116.591202840114	0	0
7892684	9.844572649572648	10.377647058823529	9.939964912280702	63718.602040999154	0	0
7892686	6.389871794871793	7.144509803921567	6.524912280701755	31084.034686783023	0	0
