Gene	PostvsPreinWT	PostvsPreinTG	Diff	TGvsWTPre	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000030573	0.12613346118589752	0.0032987583717947883	-0.12283470281410272	-0.002246967881410232	-0.017089121083333342	5.395392710002463	0.014662900007988814	0.03773172148061254
ENSDARG00000015164	-0.09063175166346316	-0.23078292090064	-0.14015116923717685	-0.0043823643493632325	1.4975472092227557	5.3945879057417	0.014669924899764951	0.037739401952273315
ENSDARG00000006220	0.0659586275801282	0.008446234692307819	-0.057512392887820396	0.10623231039743579	0.036691134923878176	5.393530201679257	0.014679163251989214	0.03775277090771786
ENSDARG00000000606	-0.09812574514743586	-0.03458784069871793	0.06353790444871792	-0.051083293407051256	3.4913388942306396e-4	5.390290930173931	0.014707498440389669	0.0378152333971043
ENSDARG00000062943	-0.08701395057371841	-0.07280320333012813	0.014210747243590283	0.08172588037820505	0.7354344167644232	5.389508712740812	0.014714350372029906	0.037822439962887
ENSDARG00000007923	-0.15195634302884625	0.08810282793910235	0.2400591709679486	-0.13792537175961533	0.4278166404439103	5.385424878728839	0.014750183791963353	0.037904117414231
ENSDARG00000031020	-0.03968778985897292	-0.05649061451922677	-0.016802824660253846	0.10198204930448385	1.5236990915544883	5.3779449599946005	0.014816080481048202	0.0380629834360482
ENSDARG00000096257	-0.20959934899038463	-0.020058614535256414	0.1895407344551282	-0.24107998023717953	0.062483930182692334	5.376466238560006	0.014829148386836829	0.03807793167393801
ENSDARG00000091902	0.07961068613782027	0.02631557874679502	-0.053295107391025276	0.09818954680448702	0.32197052027724365	5.37636404853812	0.014830051967646555	0.03807793167393801
ENSDARG00000059657	-0.035562628794871765	-0.11553454117307699	-0.07997191237820522	0.05212340646794888	-0.10930747773557699	5.373165073431599	0.01485837034661611	0.03812919528150775
ENSDARG00000059680	-0.05590119742948685	-0.15257335333012823	-0.09667215590064138	0.057856046689102825	0.7437906219142629	5.3728804726630255	0.01486089278212769	0.03812919528150775
ENSDARG00000077467	0.14351206676282047	-0.001123109474358966	-0.14463517623717942	0.052917633788461524	-0.03966998037339742	5.372725881525262	0.014862263143129186	0.03812919528150775
ENSDARG00000006514	-0.4890869724519241	0.03870915893269089	0.527796131384615	-0.26689491043269475	1.2254882470224346	5.370576080689562	0.014881335179158696	0.03816764192985211
ENSDARG00000025693	0.11002672790384604	0.08167830594871761	-0.028348421955128433	0.00934362641666664	0.5569070710624999	5.369315126581875	0.014892535070424654	0.038185882539894786
ENSDARG00000019213	0.05707314206410219	-0.05045773640384832	-0.10753087846795051	0.15415422827564174	0.9512203459759614	5.364925070783871	0.01493160470922814	0.03827555422307905
ENSDARG00000045611	-0.1041194183621793	-0.10452924885576909	-4.098304935897801e-4	0.08638905678525644	0.4154462770016024	5.3642357608313285	0.014937750136978714	0.03827857430091448
ENSDARG00000037997	0.22470542285897432	0.12709965575320567	-0.09760576710576868	0.05663801860897397	0.30722717346394235	5.363873759067833	0.014940978685487011	0.03827857430091448
ENSDARG00000054255	-0.08865657863461533	-0.026118183102564058	0.06253839553205129	0.02462635975000005	0.1919435758733975	5.361593123198221	0.014961337500793908	0.0383202230860751
ENSDARG00000036282	0.14804395371474333	0.06430306767628202	-0.0837408860384613	0.028319517240384673	0.23829624850641035	5.359763754941438	0.014977691338421981	0.03835159396716001
ENSDARG00000030972	0.027939120916666643	0.18130661008333288	0.15336748916666623	0.12412888438461563	0.17196230589743586	5.357814949995546	0.014995135850252816	0.03835252450836679
ENSDARG00000008947	0.01504550254487197	0.08048152665064134	0.06543602410576943	0.1133282184839744	0.5554691986274038	5.357621117398452	0.014996872217565708	0.03835252450836679
ENSDARG00000002994	-0.12024453233012808	-0.040294680211538356	0.07994985211858972	-0.059284524948717665	0.14462619124599355	5.357578322083417	0.014997255612914463	0.03835252450836679
ENSDARG00000057138	-0.11678053420512824	-0.13685821785576913	-0.020077683650640894	0.035146840410256265	0.01023187877003202	5.35752910090305	0.014997696590553356	0.03835252450836679
ENSDARG00000038537	0.13419108146795167	-0.06921640582371791	-0.2034074872916697	0.06037595859935918	0.9291458083774045	5.35694768379601	0.015002906711848658	0.03835252450836679
ENSDARG00000079848	0.16390174746153674	0.017770987336543254	-0.1461307601249935	0.18310461040384363	1.069489618471955	5.356773014370943	0.015004472349995954	0.03835252450836679
ENSDARG00000008735	0.004949293326919735	0.09761377231410329	0.09266447898718355	-0.013260186397440199	1.2603338053269224	5.356078184189625	0.015010702303975968	0.03835252450836679
ENSDARG00000036558	0.12716341398717856	0.23045278690384646	0.10328937291666795	-0.26139401548397473	0.6947460324134612	5.355743700301057	0.015013702414297104	0.03835252450836679
ENSDARG00000089032	-0.05447611005769265	-0.025020292160256336	0.029455817897436315	-0.1001771445673077	0.29865508790224354	5.355598254921547	0.015015007186285982	0.03835252450836679
ENSDARG00000003527	-0.20353082922435906	0.0531833381698717	0.25671416739423075	-0.07291191963461535	0.47316471231330115	5.350619085016138	0.01505975460704914	0.03845630611931274
ENSDARG00000034268	0.008380393891025628	-0.011602905506410244	-0.019983299397435872	-0.06566054025000001	0.02927844935576921	5.345855248347674	0.015102712602708856	0.038555462810031
ENSDARG00000069373	-0.07546982017628179	-0.06129987098717965	0.014169949189102138	-0.05721379646794861	0.39982282206810893	5.341543180078181	0.015141720128681427	0.03864448298415662
ENSDARG00000075666	0.284985848964747	-0.27778556950961675	-0.562771418474364	0.4882183382275669	1.5633820881185891	5.335559357898394	0.015196045532599995	0.038772537918606
ENSDARG00000013653	0.03590221638461555	0.026313291464743815	-0.009588924919871733	0.10769770253846173	0.4955277451610577	5.3280455657087895	0.015264583580703045	0.03893438979066736
ENSDARG00000011582	0.0903360189262824	0.05077128749358931	-0.039564731432693095	0.0349522402724364	0.15833194532131406	5.326634185115468	0.015277497889033303	0.03893438979066736
ENSDARG00000062361	-0.09991266914102492	-0.008498888410255645	0.09141378073076928	-0.14085723287179502	0.5249385119903847	5.326507940675305	0.015278653662580364	0.03893438979066736
ENSDARG00000007285	-0.13697983141346026	-0.0675626230641031	0.06941720834935716	-0.05265273300641038	1.5315171395408642	5.326433589261764	0.015279334400874856	0.03893438979066736
ENSDARG00000091001	0.089150914676279	-0.011468658064103243	-0.10061957274038225	0.1356686777019258	1.1346726389046478	5.326325902229092	0.01528032041243834	0.03893438979066736
