Gene	PostvsPreinWT	PostvsPreinTG	Diff	TGvsWTPre	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000092798	0.3136329966666671	0.13991215666666612	-0.173720840000001	0.19637535000000073	2.181225723333333	27.383336283312794	2.6287587332316446e-5	4.481529171047787e-4
ENSDARG00000028106	0.03222059333333349	0.27689099333333334	0.24467039999999984	-0.7605816299999998	1.2553852016666667	27.382488234290093	2.6291381926283984e-5	4.481529171047787e-4
ENSDARG00000046013	0.19943138999999993	0.06802756999999998	-0.13140381999999995	0.22472404333333335	0.41090786166666665	27.278201845274296	2.6763011129191506e-5	4.551747524385467e-4
ENSDARG00000037061	-0.06058619333333326	0.0986695133333334	0.15925570666666666	-0.36260074666666664	0.7268493133333334	27.26528594181642	2.682211928484532e-5	4.551747524385467e-4
ENSDARG00000008936	-0.10312496999999987	-0.33206531666666694	-0.22894034666666707	0.07155610000000001	1.452562745	27.25931180563179	2.684951167901073e-5	4.551747524385467e-4
ENSDARG00000070475	-0.23132874000000014	-0.19100719333333327	0.040321546666666874	0.11882804000000036	1.6015842933333333	27.205655371315416	2.7097030571349565e-5	4.585387003024933e-4
ENSDARG00000023759	0.040465080000000014	-0.21778539000000005	-0.25825047	0.5526201966666667	0.027703710833333336	27.188315316220766	2.7177599655313703e-5	4.5856371334900253e-4
ENSDARG00000092693	-0.1727032000000004	-0.0944358033333339	0.07826739666666604	0.12628215333333337	4.047920315833333	27.184215279243418	2.7196691702745678e-5	4.5856371334900253e-4
ENSDARG00000001897	0.3576955933333334	0.16834696333333327	-0.18934863000000013	-0.02015686333333322	0.5955718775	27.148834340427058	2.7362108616454172e-5	4.600363901739282e-4
ENSDARG00000008407	-0.23100669333333368	-0.2633023733333335	-0.03229567999999983	-0.14650026333333344	1.7730360283333333	27.144483584530732	2.7382532163227072e-5	4.600363901739282e-4
ENSDARG00000057513	0.15665785666666665	-0.02964062666666689	-0.18629848333333354	-0.09314290666666669	0.7288488575	27.08924207042355	2.764343089758709e-5	4.6357465942843933e-4
ENSDARG00000097256	0.00630963666666684	-0.19457648999999866	-0.2008861266666655	0.7147401399999993	1.6300367166666667	27.074694948392672	2.7712625590634913e-5	4.6357465942843933e-4
ENSDARG00000101181	0.6581870900000002	0.09396344666666664	-0.5642236433333335	0.22495726333333343	0.19891298583333333	27.068527697277872	2.7742022762070186e-5	4.6357465942843933e-4
ENSDARG00000102216	-0.030343236666666606	-0.019662763333333222	0.010680473333333385	-0.13714436666666674	0.4074081233333333	27.04524794948756	2.785332366004832e-5	4.646033862651989e-4
ENSDARG00000087187	-0.2332874266666667	-0.13554002333333331	0.09774740333333339	-0.10333430333333335	-0.014555894166666665	27.007231017248372	2.8036225849060456e-5	4.6682065179335785e-4
ENSDARG00000092123	-0.34367831000000026	-0.09387942333333354	0.24979888666666672	-0.12863672000000026	2.058329533333333	26.971942995004373	2.8207277059388208e-5	4.688330516223225e-4
ENSDARG00000058358	0.4725817300000008	0.3637783066666658	-0.10880342333333504	-0.08174365333333311	3.3450690858333334	26.91762119723505	2.847301977768442e-5	4.7240937432211396e-4
ENSDARG00000016745	0.29206175333333334	0.12672453333333344	-0.1653372199999999	0.029173643333333277	0.43029444666666666	26.89548205620187	2.8582176956162314e-5	4.7337963643175914e-4
ENSDARG00000026444	0.019420019999999996	-0.11264817999999996	-0.13206819999999997	0.26655513999999997	0.050916289999999996	26.80479934920666	2.90345086247328e-5	4.800200797586355e-4
ENSDARG00000035870	0.10005436000000001	0.06143625333333347	-0.03861810666666654	0.3491381133333332	0.7637722933333334	26.726304982695023	2.943292322191027e-5	4.856809284404066e-4
ENSDARG00000100952	0.4512116	0.039610953333332866	-0.41160064666666707	0.6753045533333335	0.892390965	26.716937958131798	2.9480899949224977e-5	4.856809284404066e-4
ENSDARG00000002656	0.11556437999999997	0.0036527166666666527	-0.11191166333333331	-0.26462842333333336	0.2477509525	26.69337352316735	2.9602005411081887e-5	4.8681748687485197e-4
ENSDARG00000015978	0.27362661333333405	0.48443242333333325	0.2108058099999992	-0.0350368066666662	2.0318198158333334	26.674749997600827	2.9698136120195762e-5	4.8707808237581624e-4
ENSDARG00000020759	0.09091123666666645	0.4016247833333336	0.3107135466666672	-0.28473954000000046	0.9956700183333334	26.670110923360067	2.972213970176804e-5	4.8707808237581624e-4
ENSDARG00000005926	0.4002182133333334	0.21076542666666664	-0.18945278666666665	0.02202298666666691	1.1047928633333333	26.525352905816845	3.048286073199014e-5	4.986697059501224e-4
ENSDARG00000003599	-0.06024203333333222	-0.053427413333333895	0.006814619999998328	0.22097590333333406	4.01370706	26.467764107136578	3.079191294768268e-5	5.028448581194125e-4
ENSDARG00000061335	0.35784678999999997	0.19847632333333343	-0.15937046666666643	0.14355585333333332	0.837305455	26.45401430781464	3.086625120202516e-5	5.031791491764695e-4
ENSDARG00000008785	-0.17893815999999996	-0.06640589999999857	0.11253226000000138	0.24164238333333232	3.045458776666667	26.401104394205696	3.1154304154111755e-5	5.065074097621616e-4
ENSDARG00000012776	-0.017168653333333506	-0.32879241000000015	-0.31162375666666664	0.14614810666666656	0.8653656041666666	26.396620271185643	3.117886314240905e-5	5.065074097621616e-4
ENSDARG00000030463	0.41206935666666683	-0.32904028333333324	-0.7411096400000001	1.1888615533333333	0.721823315	26.316597254946245	3.162103057580018e-5	5.127986920287317e-4
ENSDARG00000016513	-0.2553199500000001	-0.2153896266666664	0.039930323333333684	-0.05336163333333377	1.4274909291666666	26.251514078195374	3.19861481804563e-5	5.178208148243367e-4
ENSDARG00000073845	-0.041012976666666645	-0.011968529999999977	0.029044446666666668	0.24680605666666666	0.213590885	26.142422054831364	3.2609452676563666e-5	5.267724393304479e-4
ENSDARG00000004160	0.5695711100000004	0.13053511333333345	-0.43903599666666693	0.14675195000000008	0.9017844241666667	26.135085943992642	3.2651883349997787e-5	5.267724393304479e-4
ENSDARG00000020929	0.18796350666666672	0.24054072666666654	0.052577219999999814	-0.3550664233333333	0.29040103666666667	26.118052147944397	3.275065676696844e-5	5.274549738969866e-4
ENSDARG00000034344	0.20635775666666673	0.07691711999999995	-0.1294406366666668	0.13202823000000005	0.13294569083333332	26.08540982829051	3.294093247027088e-5	5.296062826244412e-4
