PostvsPreinWT	PostvsPreinTG	Diff	TGvsWTPre
AFFX-r2-Bs-dap-5	0	0	0	0
AFFX-r2-Bs-dap-M	0	0	0	0
AFFX-r2-Bs-lys-3	0	0	0	0
AFFX-r2-Bs-lys-5	0	0	0	0
AFFX-r2-Bs-lys-M	0	0	0	0
AFFX-r2-Bs-phe-3	0	0	0	0
AFFX-r2-Bs-phe-5	0	0	0	0
AFFX-r2-Bs-phe-M	0	0	0	0
AFFX-r2-Bs-thr-3_s	0	0	0	0
AFFX-r2-Bs-thr-5_s	0	0	0	0
AFFX-r2-Bs-thr-M_s	0	0	0	0
AFFX-r2-Ec-bioB-3	0	0	0	0
AFFX-r2-Ec-bioB-5	0	0	0	0
AFFX-r2-Ec-bioB-M	0	0	0	0
AFFX-r2-Ec-bioC-3	0	0	0	0
AFFX-r2-Ec-bioC-5	0	0	0	0
AFFX-r2-Ec-bioD-3	0	0	0	0
AFFX-r2-Ec-bioD-5	0	0	0	0
AFFX-r2-P1-cre-3	0	0	0	0
AFFX-r2-P1-cre-5	0	0	0	0
AFFX-r2-TagA	0	0	0	0
AFFX-r2-TagB	0	0	0	0
AFFX-r2-TagC	0	0	0	0
AFFX-r2-TagD	0	0	0	0
AFFX-r2-TagE	0	0	0	0
AFFX-r2-TagF	0	0	0	0
AFFX-r2-TagG	0	0	0	0
AFFX-r2-TagH	0	0	0	0
AFFX-r2-TagIN-3	0	0	0	0
AFFX-r2-TagIN-5	0	0	0	0
AFFX-r2-TagIN-M	0	0	0	0
AFFX-r2-TagJ-3	0	0	0	0
AFFX-r2-TagJ-5	0	0	0	0
AFFX-r2-TagO-3	0	0	0	0
AFFX-r2-TagO-5	0	0	0	0
AFFX-r2-TagQ-3	0	0	0	0
AFFX-r2-TagQ-5	0	0	0	0
ENSDARG00000000018	0	-1	0	0
ENSDARG00000000019	1	0	0	0
ENSDARG00000000068	0	0	0	0
ENSDARG00000000069	0	0	0	0
ENSDARG00000000103	0	0	0	-1
ENSDARG00000000151	1	0	0	0
ENSDARG00000000161	0	0	0	0
ENSDARG00000000175	0	0	0	0
ENSDARG00000000183	0	0	0	0
ENSDARG00000000229	0	0	0	0
ENSDARG00000000241	1	0	0	0
ENSDARG00000000380	0	0	0	0
ENSDARG00000000394	-1	-1	0	-1
ENSDARG00000000442	0	0	0	0
ENSDARG00000000460	0	0	0	0
ENSDARG00000000476	-1	0	0	0
ENSDARG00000000489	1	-1	-1	1
ENSDARG00000000503	-1	0	0	0
ENSDARG00000000516	0	0	0	0
ENSDARG00000000529	0	0	0	0
ENSDARG00000000540	-1	-1	0	0
ENSDARG00000000551	0	0	0	0
ENSDARG00000000568	1	0	0	0
ENSDARG00000000606	-1	0	0	0
ENSDARG00000000631	0	0	0	0
ENSDARG00000000638	0	0	0	0
ENSDARG00000000651	0	0	0	0
ENSDARG00000000656	-1	0	1	-1
ENSDARG00000000666	0	0	0	0
