Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000104315	0.97976333967494	0.562337048135472	20.22171829082559	2.96547018261735e-9	2.735942790482767e-5	11.03152963086465
ENSDARG00000101341	-0.6505860270178876	1.0051318788190522	-15.883689045793615	2.8953580070071562e-8	1.3356286486324013e-4	9.305939556591017
ENSDARG00000034503	0.92198132963142	0.6515453549933998	14.48633909648204	6.842700865880221e-8	1.8751943935078829e-4	8.593576404263057
ENSDARG00000014945	0.5699024991701432	0.7756559669904828	13.886569988788509	1.0135433404273618e-7	1.8751943935078829e-4	8.258341447015674
ENSDARG00000019113	-0.6196191973782176	0.8643649658546135	-13.882569326508618	1.016255361753676e-7	1.8751943935078829e-4	8.256041056504131
ENSDARG00000005799	-0.9383565320691931	1.106738239987842	-12.514180950231296	2.648121605348142e-7	3.65194895470653e-4	7.415053193243945
ENSDARG00000028396	2.1004039463185413	1.1969594360187463	12.452580901831858	2.7708262175315096e-7	3.65194895470653e-4	7.374499266723729
ENSDARG00000035399	-0.569718267893831	0.4020357863313886	-12.007456363000873	3.8671250113273104e-7	4.071283937448808e-4	7.073992968472221
ENSDARG00000105096	-2.784381311936696	2.589539874413852	-11.972494630519705	3.971553808480303e-7	4.071283937448808e-4	7.049821840689442
ENSDARG00000043531	0.8662782530566668	0.6531880535282442	11.244496541523848	7.02989585063485e-7	6.485781911795713e-4	6.526700965952867
ENSDARG00000011239	-0.758520178713506	0.8147246951103037	-11.109783080793356	7.840983549344771e-7	6.576446747841351e-4	6.425588254924475
ENSDARG00000040334	1.0299534656550247	1.8154474965338065	10.921400487554424	9.152246306271335e-7	7.036552035138278e-4	6.281828952824319
ENSDARG00000038075	0.6571611711797315	1.8836456156523327	10.708494742144524	1.0930529603024058e-6	7.757312778269228e-4	6.115957493629947
ENSDARG00000036868	-0.5357570004295242	0.47632078441780284	-10.453374712382134	1.3576748628449268e-6	7.765825107775915e-4	5.912307586692422
ENSDARG00000071906	0.5577869253664074	0.7106687030625469	10.40693740931583	1.413007589056816e-6	7.765825107775915e-4	5.8746521095361155
ENSDARG00000036038	-0.4408546230772725	0.27635414688241783	-10.247174831412106	1.6230711351743628e-6	7.765825107775915e-4	5.743693028155151
ENSDARG00000078703	-0.5728318142955499	0.601800791587713	-10.241416123285012	1.6312557333104554e-6	7.765825107775915e-4	5.7389313811601115
ENSDARG00000015610	0.3837237800403235	0.5990829725897577	10.22840855139099	1.6499095800999504e-6	7.765825107775915e-4	5.728165307456874
ENSDARG00000037789	2.487596762361701	1.0909166568412199	10.217314603267779	1.6660037025385856e-6	7.765825107775915e-4	5.718971438447558
ENSDARG00000039269	1.8569519431494936	0.9681861456316089	10.178913213525325	1.7230537764779944e-6	7.765825107775915e-4	5.687064009506979
ENSDARG00000069045	-0.6093132778614427	0.49753895135835935	-10.127673374687332	1.8025327169768553e-6	7.765825107775915e-4	5.6442874483612515
ENSDARG00000010149	0.7354873737398762	2.7593262555261466	10.097130111697972	1.8518117534258631e-6	7.765825107775915e-4	5.618678690282896
ENSDARG00000031683	1.2900168734653408	0.6949091739811367	10.03143645586488	1.9628742686590722e-6	7.873686088108087e-4	5.563317269041071
ENSDARG00000045940	0.368261796638447	0.8650733155249449	9.866051582616537	2.27612274581e-6	8.253719906180064e-4	5.422224460518927
ENSDARG00000074161	0.4264211127576426	1.1069521915771614	9.850623989165605	2.308022077085692e-6	8.253719906180064e-4	5.408935981477581
ENSDARG00000007377	0.7859207613356046	1.1695647067380173	9.842031904688143	2.325999540003053e-6	8.253719906180064e-4	5.401525761985723
ENSDARG00000013522	2.261761921860923	1.0279595047011778	9.767557460709869	2.488401409811401e-6	8.433970350279554e-4	5.337010299772925
ENSDARG00000022817	2.8154786649556964	1.3129789102273985	9.64946951479358	2.7719122494182407e-6	8.433970350279554e-4	5.233655563548706
ENSDARG00000055510	-1.0984346919805368	1.1051990557275497	-9.647765422823808	2.7762537698734637e-6	8.433970350279554e-4	5.232154500499287
ENSDARG00000020345	0.5384734382166109	0.8899014363601693	9.646490407535957	2.7795069932898882e-6	8.433970350279554e-4	5.2310312138059
ENSDARG00000019383	0.558340206599552	0.7131912977500796	9.625421547149946	2.8338725434496658e-6	8.433970350279554e-4	5.212447334318761
ENSDARG00000054362	0.718938569016905	1.1372628786181413	9.416107417652263	3.4418623450583027e-6	9.679956307586098e-4	5.025518170524374
ENSDARG00000036704	-0.5091808068428985	1.299707500492983	-9.372150916966374	3.5868755647396184e-6	9.679956307586098e-4	4.985724243658219
ENSDARG00000075314	-0.8424440870942649	0.7177502177962661	-9.360211264227388	3.6274086077114985e-6	9.679956307586098e-4	4.974882583539336
ENSDARG00000037091	-0.5933024531485328	0.08537186963116375	-9.304244505416051	3.824197024675447e-6	9.679956307586098e-4	4.923875670721178
ENSDARG00000100515	1.322787032943204	2.2453127445475736	9.279231408642236	3.915894275296679e-6	9.679956307586098e-4	4.900979197642639
ENSDARG00000033273	-0.33249083597287893	0.16777814723568124	-9.27437755236668	3.933965231956956e-6	9.679956307586098e-4	4.896528887557406
ENSDARG00000020114	2.343731712450908	1.8951921315211993	9.224020894887223	4.12691559269974e-6	9.679956307586098e-4	4.850220448796505
ENSDARG00000053452	-0.577548938474502	0.44765056716191265	-9.208236404919324	4.189506950871687e-6	9.679956307586098e-4	4.835652749528378
ENSDARG00000042874	1.3213107840146765	1.335340068574868	9.204998580259808	4.202473897817795e-6	9.679956307586098e-4	4.83266143574946
ENSDARG00000103980	0.5635309793896375	0.32510782139037464	9.18056878308929	4.3017364904729026e-6	9.679956307586098e-4	4.8100576636463925
ENSDARG00000087993	-0.6822307868099907	0.483867607811193	-9.051085888470602	4.872476569934704e-6	0.0010018622130163529	4.689245415245014
ENSDARG00000008447	0.5393368301161852	1.2122496574566808	9.038507326060865	4.932182873935628e-6	0.0010018622130163529	4.677418117941124
ENSDARG00000061120	1.652963303899703	1.6654903840864763	9.021739910205634	5.013018232466966e-6	0.0010018622130163529	4.661626898066571
ENSDARG00000001767	-0.5076311628982463	0.27321219761179205	-9.02012683734328	5.020870789660301e-6	0.0010018622130163529	4.660106214303679
ENSDARG00000041691	1.2911995262915144	1.0823931242287488	9.019144115303819	5.025661337254767e-6	0.0010018622130163529	4.65917964666957
ENSDARG00000002768	2.3810824518878198	0.9294119509494827	9.003260780285222	5.1037853903933e-6	0.0010018622130163529	4.64419012126275
ENSDARG00000075933	0.3038824123589889	0.3047510861330516	8.852839210192359	5.913058869017718e-6	0.0010916317684174456	4.500935563819682
ENSDARG00000059398	0.44436877031090755	0.5815104637379338	8.852380671353348	5.915730494196099e-6	0.0010916317684174456	4.500495256171905
ENSDARG00000015006	0.39896670133821266	0.8921117240011658	8.852323782206502	5.916062044317394e-6	0.0010916317684174456	4.500440627355389
ENSDARG00000006192	0.3941807185006398	0.3737360319173394	8.707260312863726	6.831357311315961e-6	0.001235805932435315	4.3600254499619835
ENSDARG00000039268	0.5013742206563375	1.0829705119713393	8.615061966585126	7.492818428525958e-6	0.0013293989004150096	4.269609799649328
ENSDARG00000005004	0.9880377049777667	2.656316198196221	8.583505063003576	7.73502015884184e-6	0.0013380855097889642	4.238451325336347
ENSDARG00000016143	0.7035840535664312	1.0166750188759999	8.571189834804452	7.831846686386741e-6	0.0013380855097889642	4.226262111247769
ENSDARG00000043287	-0.4138596933255531	0.8555698408788759	-8.535138574944334	8.122976808437402e-6	0.0013625924369935177	4.190484273676058
ENSDARG00000004311	-0.7815267480290861	0.8034376502464758	-8.516515560943859	8.277973631014962e-6	0.0013637961557097149	4.17194658458298
ENSDARG00000098666	0.38361776706599243	0.5219683722081147	8.485742258232895	8.541212837497084e-6	0.001378681159197089	4.1412304728016
ENSDARG00000105042	0.8289565408293953	0.2796637750596131	8.471379070430894	8.667191332476823e-6	0.001378681159197089	4.126858134018334
ENSDARG00000088449	-0.6627265904311557	1.5003498377376254	-8.450064478429907	8.85789092433689e-6	0.0013851339265751213	4.105487790465163
ENSDARG00000007409	-0.41919514859813495	0.4100589987391562	-8.413729653873984	9.19361044147298e-6	0.0014136708322171618	4.068941386064455
ENSDARG00000029292	-0.4124721564810383	0.7351672760193196	-8.393409497329827	9.387392110513679e-6	0.001419804583796708	4.048438627547925
ENSDARG00000071679	-0.48253209213814896	0.6975797508905582	-8.333818692967604	9.981824368818137e-6	0.0014853598649470345	3.988045056751896
ENSDARG00000075709	0.5493580623541139	1.6842984553523237	8.291287294501604	1.0431150478110945e-5	0.0015275840366833584	3.9446955808507314
ENSDARG00000059057	-0.37930032142813647	0.555898103695653	-8.252775139108975	1.0857083792313463e-5	0.0015460184223360244	3.9052653955425454
ENSDARG00000103578	-0.3392213547085311	1.0030407816842326	-8.249676054261702	1.0892174013856666e-5	0.0015460184223360244	3.9020850849892925
ENSDARG00000060729	0.40271390052530737	0.4837400721787937	8.223931245581785	1.1188501777716034e-5	0.0015640169303213353	3.8756230548965904
ENSDARG00000037910	0.3246820572596688	0.19576940261490805	8.174747147481314	1.1779348699258013e-5	0.00162203389700529	3.824857279777768
ENSDARG00000035458	1.9131705503025676	0.9283060318656297	8.144117955702137	1.2164426400750235e-5	0.0016376754585534247	3.7931021702617
ENSDARG00000060917	-0.40036119443753415	0.284202324755722	-8.13761375597431	1.2247952161303524e-5	0.0016376754585534247	3.7863449008216667
