logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000104315	0.978836131001375	0.562674592023963	20.1772763425128	3.01121648952534e-09	2.77814833323608e-05	11.0214651324654
ENSDARG00000101341	-0.650464202459264	1.00508619789688	-15.8730237677656	2.89997716960397e-08	0.000133775946833831	9.30482093077879
ENSDARG00000034503	0.92100934115845	0.65191873341909	14.4713451591886	6.87885070562484e-08	0.000187240134751091	8.58915697810527
ENSDARG00000014945	0.56954648995506	0.775704976316134	13.8794593511089	1.01407977839774e-07	0.000187240134751091	8.25787163491953
ENSDARG00000019113	-0.619357978634359	0.864371867955455	-13.8784832026726	1.01474167976962e-07	0.000187240134751091	8.25730985643283
ENSDARG00000005799	-0.938143878895522	1.10670015640538	-12.5160468918726	2.63431217998371e-07	0.00036445488236452	7.41961151254537
ENSDARG00000028396	2.09934729666294	1.19729844681968	12.450121104011	2.76521155056541e-07	0.00036445488236452	7.37619380415161
ENSDARG00000035399	-0.568862537100029	0.402477916982873	-11.9820921375781	3.92798390860067e-07	0.000416150945819262	7.05967794699938
ENSDARG00000105096	-2.77937650190667	2.58693832838039	-11.9389685124357	4.0595691658068e-07	0.000416150945819262	7.02976610280432
ENSDARG00000043531	0.865416233179185	0.653504397548081	11.2376398053783	7.04424076025864e-07	0.000649901652541462	6.52462159135537
ENSDARG00000011239	-0.758053970616295	0.814835728984973	-11.1152826820571	7.77901083735018e-07	0.000652446854412661	6.43274653529607
ENSDARG00000040334	1.02992576785208	1.81531867174389	10.9261660256307	9.08533656188907e-07	0.000698510959333238	6.28845537754713
ENSDARG00000038075	0.657221531216376	1.88353296911449	10.7100119337235	1.08802896560149e-06	0.000760544712038764	6.12005218136993
ENSDARG00000036868	-0.534980288374632	0.476688901438072	-10.4442291746106	1.36394493920041e-06	0.000760544712038764	5.90773595466283
ENSDARG00000071906	0.557363047159805	0.710779273135503	10.400561661887	1.41620820755603e-06	0.000760544712038764	5.87228608440879
ENSDARG00000078703	-0.572188680002209	0.602049900330756	-10.2392176246819	1.62919897797116e-06	0.000760544712038764	5.73988777840765
ENSDARG00000036038	-0.440295057958488	0.276845694055785	-10.2228148191267	1.65274346503332e-06	0.000760544712038764	5.72630154086042
ENSDARG00000037789	2.48715749152714	1.09076110901175	10.2225020487581	1.65319601666485e-06	0.000760544712038764	5.7260422490503
ENSDARG00000015610	0.383320786051996	0.599251612198983	10.2189817855505	1.6582988967792e-06	0.000760544712038764	5.72312330350552
ENSDARG00000039269	1.85609095515821	0.968478085083507	10.1754966944351	1.72277582035187e-06	0.000760544712038764	5.68697673449175
