Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000148154	-1.8470286159503715	6.19566927265754	-5.009242515552008	6.578122517395866e-5	0.9575772948573162	-4.134392042427485
ENSG00000001561	-1.2284651757186082	4.896645907990717	-3.639559243283058	0.0016145762587911857	0.9986078999921589	-4.272848962613855
ENSG00000125735	-1.7573580234593238	0.8678614301298502	-4.49404469461648	2.179717406490494e-4	0.9986078999921589	-4.279911910022749
ENSG00000137393	-1.9478087600262364	4.390392450839474	-3.619697047694966	0.0016911264621125007	0.9986078999921589	-4.284979599937803
ENSG00000174125	-1.7895017925315755	4.413528635433541	-3.5181597660596795	0.0021420384362587407	0.9986078999921589	-4.295320176054844
ENSG00000179344	-2.198909703701992	4.986472191276453	-3.4584934648464145	0.00246024568548784	0.9986078999921589	-4.299269965179438
ENSG00000144320	-1.4346768987475933	5.271445239001528	-3.3419405717620183	0.0032214194980879005	0.9986078999921589	-4.3113143997763546
ENSG00000103569	-2.2529979894956407	5.0904843117519984	-3.3439383191519747	0.0032066089342074806	0.9986078999921589	-4.313633827962842
ENSG00000120885	-2.345686870524404	1.8297301220482611	-3.9391102659110073	8.009633042888672e-4	0.9986078999921589	-4.313834564811193
ENSG00000163171	-1.5152879355943267	6.266207318633204	-3.365564461536175	0.003050486543971045	0.9986078999921589	-4.315086639235969
ENSG00000065154	-1.3274628242650977	5.046537165275688	-3.1833201584537876	0.004637314796035445	0.9986078999921589	-4.331315808832375
ENSG00000273320	-1.9936454189929789	1.0999035722025905	-3.829284374915951	0.0010361311149917282	0.9986078999921589	-4.333800091900635
ENSG00000204394	1.017133688448287	3.854453396747638	3.194572433833622	0.004519500821527222	0.9986078999921589	-4.341609554755764
ENSG00000147408	-1.5601547364490833	2.8811236979323995	-3.445041420300028	0.0025381684942978964	0.9986078999921589	-4.343411380184912
ENSG00000150938	1.8830796269960137	0.8149890189385315	3.540154673539218	0.0020352615581407233	0.9986078999921589	-4.35647007708223
ENSG00000166825	-1.6425695873604802	4.606055996683354	-2.999579502780203	0.00703982297473881	0.9986078999921589	-4.357824848386905
ENSG00000188559	-1.0094678238424257	6.841723351902448	-3.0681916814757866	0.006027566561539149	0.9986078999921589	-4.358002406435757
ENSG00000105204	0.9133138576669162	1.8726728992534243	3.499125195391407	0.0022388823630360172	0.9986078999921589	-4.358864296177898
ENSG00000064270	-2.2582538595144728	1.1438395502565706	-3.5075831624961693	0.0021953292733111612	0.9986078999921589	-4.360954225311565
ENSG00000143797	-1.0687516818008302	5.345544031324599	-2.9571387038426775	0.007746092321809674	0.9986078999921589	-4.361834302377286
ENSG00000185686	-1.6380444474733982	5.6346040851457895	-2.961464741968695	0.007671089218304312	0.9986078999921589	-4.362676034873744
ENSG00000145730	-0.7813928234340094	4.349269692831058	-2.926000115513744	0.008307165392850608	0.9986078999921589	-4.366275608892791
ENSG00000140379	-2.1264808947177967	5.172489095244582	-2.91518955174204	0.008510940645495993	0.9986078999921589	-4.36855264659714
ENSG00000005156	0.7833218171847327	5.1606235665477875	2.915171136493977	0.008511291829600833	0.9986078999921589	-4.369180648387762
ENSG00000166025	1.9683633680472117	2.4341067058624244	3.203760704440304	0.004425462213674411	0.9986078999921589	-4.37197058401017
ENSG00000165698	-1.6609066117663893	1.5766165621314898	-3.4329734874902003	0.002610133128770445	0.9986078999921589	-4.372365645096394
ENSG00000105352	-1.2151296298189147	3.439059498156186	-3.023185378407254	0.006674306763403626	0.9986078999921589	-4.372893468168096
ENSG00000081026	-2.4032284972383735	1.8333691775438181	-3.3228602085467895	0.0033662890780225283	0.9986078999921589	-4.373602420635312
ENSG00000091106	-1.5567683346852608	3.676321241348431	-2.976557616063718	0.007414853010732815	0.9986078999921589	-4.3753538673367816
ENSG00000102265	-1.1820654920680265	3.9279755329328734	-2.88578516457783	0.009089779464683945	0.9986078999921589	-4.378959644071442
ENSG00000165959	-1.4402326635121894	3.315396180291845	-3.004716141277482	0.006958678148533159	0.9986078999921589	-4.37942411660836
ENSG00000249624	-1.7420823459867958	1.641877881688717	-3.3296786105337177	0.0033138024436021826	0.9986078999921589	-4.380690806723931
ENSG00000071073	-0.7771982942800886	5.231617251322365	-2.799309649529476	0.01101892928721419	0.9986078999921589	-4.382534010045624
ENSG00000197442	-0.8847710945798491	4.921392959604666	-2.7888546335669866	0.011277095989619556	0.9986078999921589	-4.383238415447541
ENSG00000119121	-1.9680773290003652	2.314758725840374	-3.1958160961076865	0.004506659514324101	0.9986078999921589	-4.383712926773908
ENSG00000257335	-1.7505314554592346	6.43112927225756	-2.825022053471809	0.01040779966844575	0.9986078999921589	-4.385546257155988
ENSG00000198046	0.8646776092018477	3.283867532541363	2.9119686337352255	0.008572576644280499	0.9986078999921589	-4.386320058507129
ENSG00000157557	-1.1683666216934514	5.4677018227160765	-2.77569132320837	0.011610351533177934	0.9986078999921589	-4.3865190927499516
ENSG00000011600	-1.3018422557485037	4.831890363901718	-2.7658057871370065	0.01186677510666486	0.9986078999921589	-4.386845784747212
ENSG00000132326	1.0079344109456845	3.7232654613003118	2.849267340394092	0.00986132488469601	0.9986078999921589	-4.38712368506548
ENSG00000277443	-1.7859036016876704	5.40875479106568	-2.756464187612927	0.012114041322202826	0.9986078999921589	-4.38913090130153
