	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 2	Unamputated dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 1	7 days post-amputation wildtype adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 2	Unamputated wildtype adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 2	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2
ENSDARG00000000476	-0.13864722	-0.06075719	-0.04973324	0.01275225	-0.058076800000000005	-0.07863365	-0.07855103	-0.10346513	0.01104172	-0.05051725	-0.021865700000000002	-0.12525573
ENSDARG00000000489	0.6112049	0.75363322	0.71777931	0.59777325	0.74265425	0.69826781	0.73179076	0.70034594	0.57562069	0.60991296	0.55155149	0.65232471
ENSDARG00000000503	-0.23517022	-0.25076564	-0.24063615	-0.23627670000000003	-0.27867793	-0.28334246	-0.23831315	-0.30351788	-0.23421907	-0.2559643	-0.20454641	-0.26388379
ENSDARG00000000516	0.17109151	0.18753751	0.16372264	0.19013846	0.15380237	0.10841717	0.20798989	0.14790371	0.17642819	0.12648375	0.23578285	0.12843439
ENSDARG00000000529	0.025483000000000002	-0.019258900000000002	0.02120156	0.06027472	0.01703647	0.03232506	-0.007547399999999999	0.02481703	0.07448422	0.03631142	0.03996346	0.015556200000000001
ENSDARG00000000540	0.39407728	0.49933355	0.57952156	0.53813095	0.41291826	0.37068034	0.55176794	0.38106821	0.55250056	0.43329387	0.55043489	0.47922483
ENSDARG00000000551	-0.03913404	-0.09358903	-0.12842126	-0.04859525	-0.04789319	0.00233086	0.11463761	-0.06773823	-0.01473533	-0.02016361	0.01424547	0.028033299999999997
ENSDARG00000000568	0.77946842	0.8103518	0.86960549	0.91466281	1.03097158	1.05756438	0.86427204	1.27558701	0.82480953	0.71680311	0.9837636000000001	0.86338623
ENSDARG00000000606	-0.08003551	-0.05828755	-0.04501898	-0.01117554	-0.12302885	-0.07909968	-0.04917828	-0.02959025	0.01213976	-0.05846843	-0.00968809	-0.07977983
ENSDARG00000000631	0.5294536	0.5219387	0.37058322	0.45131765	0.50704485	0.56237527	0.52199984	0.53909639	0.74781685	0.5751586	0.60805273	0.62408161
ENSDARG00000000638	-0.02651514	-0.04257907	-0.03635465	-0.05964469	-0.06176945	-0.01008588	-0.0422117	-0.06006433	-0.06671010000000001	-0.02458399	-0.02474082	0.039911
ENSDARG00000000651	-0.00196827	0.05859431	0.01464218	-0.01646848	-0.01195266	-0.01848589	0.06463391	0.0103976	0.01565066	0.02892238	0.02473689	0.03638025
ENSDARG00000000656	0.19430482	0.2470331	0.15750217	0.66171222	0.30147044	0.33973783	0.15519187	0.25217554	0.68033214	0.26878949	0.66706683	0.15634109
ENSDARG00000000666	0.73983231	0.94890912	1.07192432	1.06380515	1.35261984	0.98428298	1.27048635	1.22767662	1.23971445	1.26471144	1.36383934	0.87994891
