	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 2	Unamputated dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 1	7 days post-amputation wildtype adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 2	Unamputated wildtype adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 2	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2
AFFX-Dr-M15077-1	-0.15617117	-0.10156817	-0.17528488	-0.09937879	-0.21853843	-0.18714625	-0.16335851	-0.23018243	-0.15002151	-0.16039959	-0.15793057	-0.13472135
AFFX-Dr-M15077-1_s	-0.21698801	-0.20175728	-0.25322375	-0.24764713	-0.25831420000000005	-0.2338498	-0.2250016	-0.20230766	-0.19998625	-0.26929446	-0.2433333	-0.18723784
AFFX-Dr-M57289-1_s	-0.2799394	-0.23459804	-0.28688926	-0.26984953	-0.32450229999999997	-0.24973551	-0.23433521	-0.26298096	-0.31750470000000003	-0.25802821	-0.16399425	-0.23811392
AFFX-Dr-M62653-1	-0.30758606	-0.29900153	-0.31542855	-0.32274335	-0.30960679	-0.28539511	-0.28841278	-0.36659334	-0.31180399	-0.29260522	-0.31425733	-0.3376046
AFFX-Dr-M62653-1_s	-0.1878635	-0.20344454	-0.19361396	-0.24997629999999998	-0.22512388	-0.23351417	-0.18256877	-0.21810638	-0.22894731	-0.20030785	-0.16619396	-0.21070065
AFFX-Dr-NM_131175-1_s	-0.11340665	-0.026103300000000003	-0.04898314	-0.09631971	-0.06346447	-0.07286724	-0.01846467	-0.09348296	-0.08589706	-0.09204985	-0.08312867	-0.09261136
AFFX-Dr-S69414-1_s	-0.21319105	-0.26083038	-0.22777978	-0.23281499	-0.26122951	-0.25722989	-0.26642647	-0.27638739	-0.29991321	-0.23110593	-0.27581297	-0.22164297
AFFX-Dr-U43284-1_s	3.68650812	3.65664476	3.71817315	-0.02710097	-0.1107734	-0.05286303	3.42522864	-0.05436482	-0.00061899	3.80290988	-0.00916146	3.79119222
AFFX-Dr-U46493-1_s	-0.37464109999999995	-0.36733724	-0.37298512	-0.32745372	-0.32730653	-0.36969666	-0.40603177	-0.35227314	-0.37734850000000003	-0.31627667	-0.34871404	-0.33563322
AFFX-Dr-U47295-1	-0.09899052	-0.08264711	-0.15925096	-0.09492695	-0.13013217	-0.12610933	-0.15434456	-0.16779664	-0.12476572	-0.15453454	-0.06351777	-0.13987477
AFFX-Dr-U55943-1	-0.22737261	-0.27800641	-0.26594478	-0.21823193	-0.28099538	-0.28200783	-0.30993257	-0.23421204	-0.27050283	-0.27101258	-0.20997445	-0.28559732
AFFX-Dr-U57609-2_s	0.24848946	0.06570930000000001	0.18992772	-0.39857709999999996	-0.41454298	-0.48583202	0.30542944	-0.3793039	-0.37394451	0.31557806	-0.38608822	0.84417883
AFFX-Dr-U89963-1_s	-0.52321786	-0.51987036	-0.50694194	-0.44163868	-0.42052079	-0.56591972	-0.45459049999999995	-0.46498447	-0.50296913	-0.46560142	-0.40835093	-0.47288069
AFFX-Dr-X03453-1	-0.26557655	-0.27124135	-0.27701799	-0.26357036	-0.27917653	-0.24075825	-0.25657956	-0.1838804	-0.27106298	-0.22741546	-0.18633842	-0.28798328
AFFX-Dr-X03453-2_s	4.49314247	4.4409436	4.36750748	4.42610281	4.20867342	4.16160306	4.41626554	4.33627952	4.1744411	4.41733692	4.75793503	4.45248707
AFFX-Dr-X58791-1_s	-0.26758493	-0.26574213	-0.25973852	-0.25770823	-0.30105537	-0.28039107	-0.26962339	-0.26890013	-0.29038191	-0.20121098	-0.24127134	-0.28887616
AFFX-Dr-X58791-2_s	-0.3065261	-0.31458438	-0.28625695	-0.26533508	-0.27464244	-0.28995972	-0.28556334	-0.30325690000000005	-0.30448099	-0.27751557	-0.27464698	-0.29459994
