	GSM324905	GSM324904	GSM324903	GSM324906
ENSDARG00000000018	0.15443940208720902	0.755738916341279	0.32105592266511607	0.316525735988372
ENSDARG00000000019	1.08798824371802	0.527641860192151	0.48531711405218	0.562295167086919
ENSDARG00000000068	0.303618582360756	0.8508464546298931	0.655308041018605	0.5906373161465122
ENSDARG00000000069	0.9548175578514542	1.17567237746928	1.04136615271163	0.59676356118188
ENSDARG00000000103	-0.16345635448095902	0.0106295750802326	0.36136691364185997	-0.155099535185465
ENSDARG00000000151	0.346443785421512	0.492713791862791	-0.0101872725774225	0.47643575902189894
ENSDARG00000000161	-0.0862439126302326	-0.138968258146802	-0.0767003190238372	-0.129239710038372
ENSDARG00000000175	-0.0871901307799419	-0.19324685507412803	-0.147268746815891	-0.0255989601205426
ENSDARG00000000183	0.165876377291279	0.07239053669418599	-0.0282694257446705	0.0767930339401163
ENSDARG00000000229	-0.0502554919892442	-0.14190866090407	-0.065163680172093	-0.145019332682267
ENSDARG00000000241	0.426843880646415	0.532323813443605	0.222300631678488	0.15852175317093
ENSDARG00000000380	-0.295434297737791	-0.296049207525	-0.324704187840698	-0.219935860590698
ENSDARG00000000394	1.10454388431919	0.5248089330761629	0.713910550065698	1.0744711747906999
ENSDARG00000000442	0.45816165431531	0.42523396486453496	0.17721524612819797	0.14443175450426401
ENSDARG00000000460	0.7290032798648259	-0.119469972576744	-0.00501730984525194	0.9117541179311051
ENSDARG00000000476	0.461258667903004	-0.183315826223837	-0.169631000741279	0.513107111623837
ENSDARG00000000489	0.576098906520349	0.363288258678779	0.24628580883343	0.607730232764535
ENSDARG00000000503	0.294690706410465	-0.0202624451883721	-0.0726820271093023	0.20593870681434098
ENSDARG00000000516	0.690651242542442	0.418450160359302	0.372577922608721	0.7256823144284879
ENSDARG00000000529	-0.178065617155523	0.143948571111628	0.125012887089244	-0.24481186726860502
ENSDARG00000000540	0.8976276311767439	0.39789315162325606	0.4622846961965121	0.704952854656395
ENSDARG00000000551	-0.0977030124008721	-0.0212299797781008	-0.0808945878395349	-0.0373838983962209
ENSDARG00000000568	0.718264747787984	0.24401695792412803	0.430835481545349	0.240339286098062
ENSDARG00000000606	0.370095297796512	0.356423018114244	0.29560186618226697	0.426453598055814
ENSDARG00000000631	0.9888451177502909	0.7298250876133721	1.21324959516395	0.659848713225581
ENSDARG00000000638	0.442415968009302	0.0603229050776163	0.0965977946771318	0.424044571850872
ENSDARG00000000651	-0.148153086556105	-0.143957313144767	0.220405847114438	-0.0901685960804264
ENSDARG00000000656	1.202374484425	0.39229307556598797	0.340099745785756	1.10049965420785
ENSDARG00000000666	0.9911687799877908	0.34944145986424396	0.543279215868605	1.08574959797326
ENSDARG00000000690	1.7701652308296498	1.4319305645540699	1.5227517077098798	1.82491655288198
ENSDARG00000000729	-0.0668281641104651	-0.291886035602907	-0.19596312280145298	0.00152960747238372
ENSDARG00000000760	-0.0396420338037791	-0.202021863918702	-0.19098697467267398	0.10540620341782901
ENSDARG00000000767	1.4637917628252899	1.25108260701802	1.28955722310727	1.52833260570378
ENSDARG00000000779	0.484656528493895	0.23913449777441897	0.5591323732348841	0.800830107025581
ENSDARG00000000796	2.56908030261337	3.1582838318720903	3.1655167577965098	2.6434279043314
ENSDARG00000000853	1.10500314121163	0.668535661021802	1.32824471101744	1.2830894468354699
