Gene	SRR5828214	SRR5828215	SRR5828216	SRR5828217
ENSMUSG00000000001	19037.898	8163.5845	8620.769	6345.5093
ENSMUSG00000000003	0.0	0.0	0.0	0.0
ENSMUSG00000000028	6437.2007	1954.6246	2030.1536	1646.6211
ENSMUSG00000000031	0.0	0.0	0.0	0.0
ENSMUSG00000000037	64.65243	38.1703	24.807877	32.380005
ENSMUSG00000000049	0.9561213	0.0	0.0	0.0
ENSMUSG00000000056	1241.3374	850.2878	775.7814	859.39954
ENSMUSG00000000058	44.74251	55.989735	28.658043	38.82305
ENSMUSG00000000078	8857.048	3570.5544	4605.65	5063.3794
ENSMUSG00000000085	1115.8379	338.672	321.689	604.3766
ENSMUSG00000000088	10971.33	4387.262	7950.797	3685.6943
ENSMUSG00000000093	0.0	2.0899138	0.0	0.90252674
ENSMUSG00000000094	0.0	0.0	1.0490762	0.0
ENSMUSG00000000103	0.0	0.0	0.0	0.0
ENSMUSG00000000120	0.0	0.0	2.114232	0.9270608
ENSMUSG00000000125	0.0	1.009234	0.0	0.0
ENSMUSG00000000126	20.266176	5.00096	7.3809147	3.7158458
ENSMUSG00000000127	545.91797	234.85748	259.4678	369.69623
ENSMUSG00000000131	9029.536	2534.7317	1940.8606	2896.5737
ENSMUSG00000000134	2185.8994	629.2631	643.8224	1143.6787
ENSMUSG00000000142	103.86533	33.95591	30.461935	93.33122
ENSMUSG00000000148	806.32275	255.47551	281.55844	391.94128
ENSMUSG00000000149	1597.8945	413.3118	312.62704	748.57623
ENSMUSG00000000154	0.0	2.1278343	1.2972801	2.3436756
ENSMUSG00000000157	1.5550928	0.0	15.456397	8.628461
ENSMUSG00000000159	217.3462	45.647934	307.81775	65.378265
ENSMUSG00000000167	55.96328	16.1123	39.50386	20.63544
ENSMUSG00000000168	4677.454	2024.873	2516.566	1865.3373
ENSMUSG00000000171	11472.152	3554.9824	6127.993	3214.0376
ENSMUSG00000000182	0.0	0.0	1.0490377	0.0
ENSMUSG00000000183	1.0532044	1.0479413	1.056923	0.99439865
ENSMUSG00000000184	197619.5	24041.125	2927.324	27106.676
ENSMUSG00000000194	2284.921	970.9718	1039.3152	1601.4663
ENSMUSG00000000197	2.4706786	0.0	1.9672449	0.0
ENSMUSG00000000202	0.0	0.0	0.0	0.0
ENSMUSG00000000204	202.71593	133.72179	903.8314	162.57867
ENSMUSG00000000214	16.92677	3.0408607	2.1139476	4.704538
ENSMUSG00000000215	0.0	0.0	0.0	0.0
ENSMUSG00000000216	0.0	0.0	0.0	0.0
ENSMUSG00000000223	12.83471	7.118798	6.3366704	3.6864028
ENSMUSG00000000244	123.50949	90.51105	256.83115	175.63297
ENSMUSG00000000247	27.713343	4.399395	0.0	11.048004
ENSMUSG00000000248	189.98592	32.886898	54.063763	59.19742
ENSMUSG00000000253	2.5567908	12.721746	1.501154	27.358156
ENSMUSG00000000263	0.0	0.0	0.0	0.0
ENSMUSG00000000266	61.764492	22.355795	8.537143	14.233595
ENSMUSG00000000275	7739.7056	3375.7678	2916.1526	4154.372
ENSMUSG00000000276	1042.7087	365.47745	379.2746	289.93408
ENSMUSG00000000278	3343.115	1321.0908	1368.8582	1884.6761
ENSMUSG00000000282	2410.3267	408.9309	416.5752	914.4579
ENSMUSG00000000290	51411.684	10188.623	8195.193	13132.091
ENSMUSG00000000295	967.0103	357.63745	813.0755	422.669
ENSMUSG00000000296	0.9560926	0.0	0.0	0.0
ENSMUSG00000000301	156.9729	44.813404	41.351936	29.805424
ENSMUSG00000000303	35.515396	185.65338	233.94585	319.3758
ENSMUSG00000000305	3.081316	1.090663	0.0	3.2551224
ENSMUSG00000000308	0.0	0.0	0.0	1.8678023
ENSMUSG00000000317	47.634987	9.071194	10.212036	5.671995
ENSMUSG00000000318	6.2147446	28.70195	83.67607	18.852188
ENSMUSG00000000320	0.98920697	11.188976	8.572678	1.854521
ENSMUSG00000000325	18.3331	13.307896	4.0242376	5.612859
ENSMUSG00000000326	1981.0796	537.99585	577.16736	520.8208
ENSMUSG00000000339	2438.1086	845.3647	1081.7944	909.5986
ENSMUSG00000000340	2411.071	856.35986	623.1249	650.32196
ENSMUSG00000000346	32908.527	8587.754	10890.263	12275.323
ENSMUSG00000000355	3951.6792	1444.7268	2481.6216	1053.8168
ENSMUSG00000000359	1.615718	0.0	0.0	0.0
ENSMUSG00000000365	103.61665	70.69253	124.90442	33.847084
ENSMUSG00000000374	6492.8457	1508.7441	1326.483	1686.6213
ENSMUSG00000000378	4271.352	938.12195	818.8796	1295.5197
ENSMUSG00000000381	0.0	0.0	0.0	0.0
ENSMUSG00000000384	4611.108	1123.1486	688.1062	996.6017
ENSMUSG00000000385	0.9936753	0.99546164	1.024569	0.96236515
ENSMUSG00000000386	696.45105	295.44177	434.64404	402.7537
ENSMUSG00000000392	1.419226	0.0	6.107351	1.121606
ENSMUSG00000000394	0.0	0.0	0.0	0.0
ENSMUSG00000000399	6771.4453	2497.9111	3179.6367	2604.4045
ENSMUSG00000000402	0.94602954	0.0	0.0	0.99496347
ENSMUSG00000000409	39493.93	7056.3936	5879.552	11967.568
ENSMUSG00000000411	0.0	0.0	0.0	0.0
ENSMUSG00000000416	0.0	0.0	4.7194223	0.3997167
ENSMUSG00000000420	21374.709	9379.071	7329.8438	9636.826
ENSMUSG00000000435	0.97372836	0.0	1.030222	0.0
ENSMUSG00000000439	1841.1036	560.0553	304.34637	543.2973
ENSMUSG00000000440	0.0	4.2437153	16.564142	4.305552
ENSMUSG00000000441	4666.11	1637.2898	1656.3076	2221.206
ENSMUSG00000000486	36886.656	5587.3794	5232.746	8454.153
ENSMUSG00000000489	1472.729	284.63635	344.18106	534.3444
ENSMUSG00000000530	9.945484	52.4368	34.892128	92.141
ENSMUSG00000000531	121.06686	47.509136	46.63438	71.2606
ENSMUSG00000000532	624.68915	263.23978	177.90764	407.78104
ENSMUSG00000000538	501.25272	190.20972	210.85892	262.6367
ENSMUSG00000000544	8.461198	1.7855878	11.551898	2.0355976
ENSMUSG00000000552	13.464034	20.962217	11.6938305	47.25239
ENSMUSG00000000555	1881.2638	1011.2724	538.5655	1457.1715
ENSMUSG00000000560	9.192298	2.9096162	7.5764723	1.4397279
ENSMUSG00000000561	7390.0283	2728.8901	2227.512	2163.31
ENSMUSG00000000562	8.9176855	36.53619	16.377914	54.78794
ENSMUSG00000000563	22254.334	9691.242	15531.004	7612.177
ENSMUSG00000000567	1.9335365	1.0359423	0.0	1.9026797
ENSMUSG00000000568	27278.887	8202.575	11437.326	7422.099
ENSMUSG00000000579	22.30649	20.555162	80.88407	35.66696
ENSMUSG00000000581	6736.3184	1177.3325	1764.975	1502.4448
ENSMUSG00000000594	694.659	508.57648	601.22437	774.6744
ENSMUSG00000000600	1813.5242	888.955	1265.9641	788.8985
ENSMUSG00000000605	3839.7183	1304.5787	2040.0748	1385.7756
ENSMUSG00000000606	3.8615866	0.9925535	0.0	0.0
ENSMUSG00000000617	0.7445192	8.903591	20.858719	9.232494
ENSMUSG00000000627	19.01456	18.59275	57.296375	133.22801
ENSMUSG00000000628	2022.8549	1372.3027	1522.4729	1049.9364
ENSMUSG00000000631	2113.2876	511.1446	593.59485	895.9446
ENSMUSG00000000632	4.77359	0.0	2.0977764	0.9430714
ENSMUSG00000000673	507.1069	261.60226	190.87894	320.7659
ENSMUSG00000000682	44426.195	12074.352	24776.998	21017.658
ENSMUSG00000000686	65.55694	47.192066	26.296928	70.0922
ENSMUSG00000000690	0.0	0.0	0.0	0.0
ENSMUSG00000000693	4.6744733	3.397092	16.458324	10.7548685
ENSMUSG00000000701	0.0	0.0	0.0	0.0
ENSMUSG00000000706	1.9572395	0.0	2.0387967	0.94862497
ENSMUSG00000000708	1761.4951	645.5994	881.8032	764.72156
ENSMUSG00000000711	4797.8057	1550.502	1991.8875	2008.7865
ENSMUSG00000000724	0.95933837	0.0	0.0	0.0
ENSMUSG00000000730	0.0	9.096857	2.1443274	16.548471
ENSMUSG00000000731	1.9525807	0.0	1.0602624	0.0
ENSMUSG00000000732	1598.4003	315.99173	324.89954	365.43805
ENSMUSG00000000738	2824.806	702.0419	562.5234	969.9086
ENSMUSG00000000739	7.2307124	1.0202963	7.6985064	5.0124154
ENSMUSG00000000740	53836.535	14520.0205	24903.877	18717.506
ENSMUSG00000000743	14958.152	3455.825	615.025	4412.827
ENSMUSG00000000751	22285.613	6903.6465	8772.096	7338.1875
ENSMUSG00000000753	0.7927242	1.6497314	5.10934	2.4158182
ENSMUSG00000000759	3577.5132	927.39355	870.2612	1159.9587
ENSMUSG00000000766	3.177814	0.85412395	1.686903	2.8803005
ENSMUSG00000000776	1335.4409	384.49918	340.8871	321.87726
ENSMUSG00000000782	5167.854	1108.6384	1548.67	2721.1863
ENSMUSG00000000787	45022.613	13377.554	7356.9414	13180.032
ENSMUSG00000000791	10470.414	3163.084	1092.7406	3614.2278
ENSMUSG00000000792	2.8533528	0.0	1.0562412	0.9324868
ENSMUSG00000000794	0.0	0.0	0.0	1.8677204
ENSMUSG00000000804	3434.39	1105.6794	632.1052	1751.7148
ENSMUSG00000000805	0.91929257	3.6334627	0.0	2.1883984
ENSMUSG00000000811	595.9244	144.57608	139.83025	132.14627
ENSMUSG00000000817	10493.782	3649.1313	5340.95	2767.6194
ENSMUSG00000000823	1146.7397	334.40314	451.03348	461.2775
ENSMUSG00000000826	15070.803	4948.029	2215.2607	5537.9136
ENSMUSG00000000827	3449.5652	1022.9371	1213.2499	1163.1307
ENSMUSG00000000838	6069.666	2472.456	1953.3507	1528.9232
ENSMUSG00000000861	7.3161607	48.4664	11.150789	75.05771
ENSMUSG00000000869	0.0	10.119417	7.2868414	8.447789
ENSMUSG00000000876	758.98694	154.8058	354.75565	274.45694
ENSMUSG00000000881	321.74146	245.13823	135.531	231.64975
ENSMUSG00000000884	430.97818	111.3804	114.97879	139.59149
ENSMUSG00000000889	0.0	0.0	0.0	0.0
ENSMUSG00000000901	3.5642478	17.65599	0.57521635	1.5619287
ENSMUSG00000000902	4166.647	1285.4053	1566.8815	1671.2528
ENSMUSG00000000903	0.0	1.0545417	3.0841417	0.91299355
ENSMUSG00000000915	6617.987	1159.423	808.75183	2743.5867
ENSMUSG00000000916	588.1238	235.56169	174.85344	268.5331
ENSMUSG00000000934	763.21875	238.62492	177.6172	158.45642
ENSMUSG00000000938	1.088951	2.540162	0.7784273	0.0
ENSMUSG00000000942	6.148508	2.133986	3.2458823	3.7504776
ENSMUSG00000000948	4.3037896	7.554932	0.80380964	4.307192
ENSMUSG00000000957	0.0	396.7999	366.16678	898.2035
ENSMUSG00000000958	293.90915	212.11168	173.86244	245.48695
ENSMUSG00000000959	3109.6396	893.1484	962.2612	1270.144
ENSMUSG00000000976	2025.5333	556.4096	465.10098	801.56525
ENSMUSG00000000982	33533.26	1761.6191	2310.4666	2368.6218
ENSMUSG00000000983	0.0	0.0	0.0	0.0
ENSMUSG00000001014	11.887129	2.1131804	0.0	3.7366643
ENSMUSG00000001016	9183.958	2852.1853	3749.7327	2594.8413
ENSMUSG00000001017	10681.649	3426.4314	4981.5674	3063.57
ENSMUSG00000001018	1864.9204	618.3892	1039.7756	747.62225
ENSMUSG00000001020	6430.9253	1095.0884	4777.1875	1632.8922
ENSMUSG00000001021	11.568448	2.257294	0.84896487	0.0
ENSMUSG00000001023	1.0242192	1.8885604	0.0	0.0
ENSMUSG00000001025	13766.36	2905.2925	9610.97	5364.8706
ENSMUSG00000001027	0.0	23.043497	1.038321	29.494919
ENSMUSG00000001029	885.9279	156.6465	289.55295	350.6417
ENSMUSG00000001034	570.5753	409.48373	174.38638	409.36786
ENSMUSG00000001036	8.261845	20.435024	3.7247517	28.79288
ENSMUSG00000001039	39.24834	17.612633	6.6048265	22.044033
ENSMUSG00000001052	4796.64	1765.5244	1781.8007	2189.7341
