Symbols	Gene	SRR1914395	SRR1914394	SRR1914393	SRR1914392
slc35a5	ENSDARG00000000001	0.4596897812062034	0.41564409742598596	0.5280397161520941	0.5080572346771772
ccdc80	ENSDARG00000000002	0.22530372981444843	0.2887199565127037	0.6218107026978054	0.5306858114306893
nrf1	ENSDARG00000000018	1.3492012854645883	1.7827523947025998	1.2229591792467014	1.3032249212210467
ube2h	ENSDARG00000000019	2.079308696103793	2.0145617006459813	1.878538136755475	1.8374982335097274
slc9a3r1a	ENSDARG00000000068	0.5308119137843086	0.5705225575503908	1.007375525285329	0.9635892498866154
dap	ENSDARG00000000069	1.9792641567637306	2.0533009741318757	2.0553184204501695	2.0216821094233994
itsn1	ENSDARG00000000086	1.0603774195424784	0.994755143775667	1.495712095497184	0.9349784950092943
myh10	ENSDARG00000000103	2.386041096973406	2.43790382579217	2.8600394465698056	2.7787629761720725
tmem267	ENSDARG00000000142	0.593575685126547	0.7841514858829675	0.36504065520635554	0.3903406167975016
thraa	ENSDARG00000000151	0.5786242868140026	0.5241844849293245	0.476080361233685	0.34177390347465525
itsn2a	ENSDARG00000000161	0.5725462483216537	0.661202096941606	0.3453694931059196	0.39541094783106234
hoxb2a	ENSDARG00000000175	0.5491582490185105	0.34586168528348493	0.6695631514854934	0.6279234870108603
ptpn4b	ENSDARG00000000183	0.6445271722205904	0.6396678397860225	0.7176505964907421	0.6615932527851488
sema6e	ENSDARG00000000189	1.2402313121502204	1.292249889431322	0.8347025951049607	0.6912604340500815
krt97	ENSDARG00000000212	2.9686724738671257	2.8289135016954523	3.394145348003377	2.9901113546132887
usp49	ENSDARG00000000229	1.1127914186923968	1.0698141976188624	1.203821301216425	1.0363867795813055
slc40a1	ENSDARG00000000241	1.8769758535300565	1.928475040461635	1.3538318008270553	1.4766385929894512
dcaf8	ENSDARG00000000324	0.5421855594899984	0.642555730920569	0.6493280642506887	0.6486726829391962
cfap300	ENSDARG00000000349	0.16461744537501602	0.15010954760476292	0.3216934620892038	0.3306026462996025
prkag3b	ENSDARG00000000369	0.3754797081065891	0.3540622431036	0.5338425795587162	0.5652660554030169
triob	ENSDARG00000000370	1.1608616517879327	1.4932605190151527	1.473789964052245	1.1156845550708048
pde6a	ENSDARG00000000380	0.13688840383908632	0.22094750063070814	0.4423743539091492	0.4815999142197914
matr3l1.2	ENSDARG00000000394	1.9765801652750254	2.2278224387166325	2.3907463362792347	2.555581643321712
si:ch73-314g15.3	ENSDARG00000000423	0.46450203229169157	0.4806325467626767	0.5500813729070615	0.5687944522713845
slc39a13	ENSDARG00000000442	1.6120226150281294	1.4835245917910123	1.6327253358167095	1.442729834088966
nitr2b	ENSDARG00000000460	-0.09229473169152497	-0.06787084639923643	-0.19810827193828007	-0.1182237240501473
cntn2	ENSDARG00000000472	1.3924929112019928	1.3013367870880244	0.4999085158877562	0.7778662412393265
tnni1a	ENSDARG00000000474	-0.19473006962576014	-0.21578982813716663	-0.09776652963089835	-0.20487679410304563
pms1	ENSDARG00000000476	0.3190010783420707	0.3506946793229335	0.6347507345966474	0.6056077712335624
upf3b	ENSDARG00000000489	1.2952911400736007	1.223261644819854	1.4062071382255772	1.7253310224710618
stx1b	ENSDARG00000000503	1.9318251244958269	2.2397208347043156	1.0122535987898202	1.1012035514166796
ankar	ENSDARG00000000516	0.037544611900056146	0.07669912360937915	0.12170468205796012	0.09122728141190696
ofd1	ENSDARG00000000529	0.6500776502224042	0.5685910917538739	0.9383117789659746	0.9748941475961448
asnsd1	ENSDARG00000000540	1.2400726102159418	1.3004942258294623	1.1794113366523402	1.32372210991638
gtf2e1	ENSDARG00000000542	1.201282820941524	1.3566499116760276	1.20594150203944	1.1871681825814762
slc1a4	ENSDARG00000000551	1.9384377855134207	1.948556996373393	1.5994330480498504	1.5143889792701664
ttn.1	ENSDARG00000000563	4.373801714481307	4.2593746188753645	3.7564967202887334	3.6399356581826217
znf281a	ENSDARG00000000567	1.4323428405356937	1.4797013755046637	1.5329012064759153	1.4264106158548813
ell	ENSDARG00000000568	0.9682949586706608	0.6936282568894905	0.9892462262943706	0.8601237841300935
grasp	ENSDARG00000000588	0.2506921570439392	0.37553685184843666	0.923157383676903	0.7275693777020479
dnah6	ENSDARG00000000606	0.639953111306912	0.39434765702964786	0.4210143593748585	0.3681001403029508
ptpn4a	ENSDARG00000000631	0.8233787525268232	0.865398263317414	1.3660114748512107	0.9834744504843295
opn1mw4	ENSDARG00000000638	-0.03918626000787242	-0.0951011812788684	-0.19810827193828007	-0.11610354180221101
osgepl1	ENSDARG00000000651	0.14714377898134884	0.18622550957172068	0.18022963179145016	0.2174868021746103
psmb9a	ENSDARG00000000656	0.13300280039567308	0.04923952897033684	0.09757918912948305	-0.01099348716756009
creg2	ENSDARG00000000666	0.7323632752039464	0.6842364418641259	0.9144390553581141	0.6924165869221116
sypl2b	ENSDARG00000000690	1.2475230566845155	1.0058982175086857	1.0751312915908546	1.10029470777094
daxx	ENSDARG00000000729	1.007033617793342	0.8910951140552015	1.3137782541031706	1.2483459645638295
slc6a22.1	ENSDARG00000000730	0.4829372151981168	0.4837526504443197	0.5832660487018433	0.6139764063277423
lcmt2	ENSDARG00000000747	0.37346369761750053	0.39061960041268184	0.6026839620174974	0.5728780633459224
znf511	ENSDARG00000000760	0.3820747769634201	0.27863172946037595	0.4411342042286759	0.5801582330916194
spi1b	ENSDARG00000000767	0.36212635612572874	0.33509696681624956	0.4848728920484758	0.3916348013488329
scfd1	ENSDARG00000000779	1.6376462548495563	1.6995866763413972	1.587795165641333	1.7228685284398688
nr4a1	ENSDARG00000000796	0.8605925354472183	0.6620386900854058	0.4786233935840952	0.5399571698679534
rassf6	ENSDARG00000000804	1.439762053056873	1.1539222979280772	0.8997044910846703	0.9332308109318742
telo2	ENSDARG00000000830	0.6118246073340753	0.6718656260827444	1.0055554214240794	0.9991918885622687
snx9a	ENSDARG00000000837	0.7989961718586069	0.790267132940493	0.6062996237850998	0.5961738577900866
dstyk	ENSDARG00000000853	0.9186789569112632	0.8435851874681715	1.4280473053777447	1.286876465561512
mapk14a	ENSDARG00000000857	1.5999382422014174	1.2964874879307149	1.6934849897548108	1.6528666414973592
scrib	ENSDARG00000000861	2.203303383448972	1.7846942412003042	2.528002330974827	2.219767198876614
zgc:56699	ENSDARG00000000887	0.7776155896063013	0.5748235434322028	1.332448965082032	1.3168883491548415
skap2	ENSDARG00000000906	0.2289768747823005	0.20286663469711497	0.33627221546168806	0.4215379640574012
unk	ENSDARG00000000935	0.8398975083247048	0.8526725741319314	0.8456867867098871	0.6168545879295997
dzip1	ENSDARG00000000943	0.8617475496838425	0.9524576651032743	1.1873145630856348	1.1450977736976569
ncor2	ENSDARG00000000966	1.6472421911386097	1.7204102882348182	1.6277743245177008	1.4919490506570074
myh9b	ENSDARG00000001014	2.3192069286197565	1.6949896828331146	3.2943302738756293	2.7488529430227246
znf384l	ENSDARG00000001015	1.8842570518150161	2.0426557397390317	1.4395530844320659	1.1360095890848825
