Gene	GSM1831680	GSM1831675	GSM1831681	GSM1831683	GSM1831677	GSM1831676	GSM1831682	GSM1831679	GSM1831678	GSM1831684
ENSDARG00000000018	0.6307356617559152	0.5176707528317943	0.7046962885461626	0.6680074158049607	0.3584293981688783	0.4341931599345065	0.8372243011696462	0.4196972949105596	0.6129293923222737	0.7640654946633001
ENSDARG00000000019	0.7136437700444298	0.27770359003596856	0.8289951258136182	0.8176265813548761	0.3289300793304963	0.6153185367986144	0.8711880518061191	0.4398919305507796	0.19725972890940566	0.8963077062022512
ENSDARG00000000068	1.4557840080265427	1.7174547625591434	1.5449801000582781	1.3927919906797464	1.9437558138664173	1.5334236998874782	1.1188342824697046	1.8385968759701703	1.4398750404016158	1.085877962171958
ENSDARG00000000069	1.2128400962635129	0.7597642553352582	0.9582149883684364	1.1147350865675143	0.9348921775476062	0.8182402635528007	1.0193588828552604	0.9366842084575884	0.7136437700444298	1.0676508742827464
ENSDARG00000000103	0.15907420378736312	0.6373985368894984	0.3687131051806117	0.2022097616735911	0.2953582085320253	0.5815799342588001	0.2860731635210616	0.4206963060362557	0.4484886774330639	0.2462546621858052
ENSDARG00000000151	0.1540052090631851	0.3157764468517022	0.13757963336087692	0.09237853185718392	0.2696489532189844	0.3076423764151756	0.08802173541517604	0.25877469395499203	0.14656368329515285	0.2061004036235814
ENSDARG00000000161	-0.2658995254096941	-0.2160379631878248	-0.1748407412587998	-0.29010393241488713	-0.1467737206733984	-0.2419403725538084	-0.2777153699673982	-0.10972458867628387	-0.2632975111869597	-0.21306590829313346
ENSDARG00000000175	-0.1855609453969997	0.008775980874206566	-0.15024340442835168	-0.1900720858375648	0.05290531633237162	-0.08367655857761112	-0.1850649607876516	-0.06877354948307368	-0.09942204955770327	-0.18164948163877687
ENSDARG00000000183	0.020492707949990405	-0.05909851757472594	-0.08047213760617432	-0.0486188610141373	-0.13752463969821138	-0.06321797947586066	-0.02519204591459897	-0.0919286323150606	-0.10902347714118092	-0.06154868797864978
ENSDARG00000000229	-0.3624694115187532	-0.2813772789596076	-0.2938122541609925	-0.33269122271754176	-0.2873854375516443	-0.24381468883237198	-0.2660886643485292	-0.20725068860992493	-0.29534542286093485	-0.32204694175706866
ENSDARG00000000241	1.535863713738025	1.1192812969290251	1.6009952624131607	1.4580597564388365	0.8157829528141955	0.7427103680171189	0.7090364898805545	0.8087424470736667	0.8791803673090023	0.8464154456191596
ENSDARG00000000380	-0.27637856465695315	-0.18965406045903047	-0.21893606437795726	-0.23001865498384325	-0.14947384997634158	-0.19058639549826933	-0.2428005079750913	-0.17405279796133866	-0.2755089436081936	-0.25374299665262545
ENSDARG00000000394	1.2639011329069032	1.2271901024425849	1.2050886548886324	1.2335671012028258	1.5029322102290816	1.2717919607189838	1.1398870268281391	1.3509307788003455	1.216001262896424	1.167419969049914
ENSDARG00000000442	0.2211453164270052	0.4071745944581658	0.2924366286635892	0.5308214072388918	0.363013507016446	0.1746802873739183	0.7001496727688983	0.3711860501360359	0.26946328573583384	0.7942357102533198
ENSDARG00000000460	0.2005013715641468	-0.25231600623745004	-0.05140283274148867	-0.10303408279313313	-0.21432658159059415	0.0006232021921523606	-0.20658534302942874	-0.18446210073023667	-0.13694093627740894	-0.17924368192325446
ENSDARG00000000476	0.013330553396903226	-0.1990991206448358	-0.07994441653317942	-0.09456706918465076	0.01557148869734568	-0.06622667359924987	0.1111380493969995	0.08349111513560319	-0.07446432501211772	0.0663056821327178
